Identificador;ual_prov;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_znd;eu_tn;fact_exp_fin
01055201016620001; AZUAY;01;01662;0001;19,27;3;1;2;2;1;1;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8141293282164
01055201016620002; AZUAY;01;01662;0002;3,48;2;1;1;1;1; ;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,6561292850815
01055201016620003; AZUAY;01;01662;0003;3,25;2;1;1;1;1; ;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,2067086086689
01056201016780001; AZUAY;01;01678;0001;3,12;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,9637867718642
01056201016780002; AZUAY;01;01678;0002;10,73;4;1;3;4;1;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,20892742432227
01056201016780003; AZUAY;01;01678;0003;6,05;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,5972889107679
01135201017190001; AZUAY;01;01719;0001;8,78;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,2756955681571
01135201017190002; AZUAY;01;01719;0002;7,12;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,99123148037495
01135201017240001; AZUAY;01;01724;0001;11,53;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,1582036988485
01056201019480001; AZUAY;01;01948;0001;10,69;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,4782894233672
01056201019480002; AZUAY;01;01948;0002;7,58;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,5331082063883
01056201019480003; AZUAY;01;01948;0003;3,45;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,6309981284109
01135201022300001; AZUAY;01;02230;0001;6,05;2;1;1;1; ;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,0250043768097
01135201022300002; AZUAY;01;02230;0002;2,71;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;74,0693887548478
01135201022300003; AZUAY;01;02230;0003;2,03;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,3814138607488
01135201022300004; AZUAY;01;02230;0004;1,31;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,3628296390197
01135201022300005; AZUAY;01;02230;0005;4,02;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,5874781162295
01056201022750001; AZUAY;01;02275;0001;4,52;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1629201619717
01056201022750002; AZUAY;01;02275;0002;2,42;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,2442033613101
01056201022750003; AZUAY;01;02275;0003;2,57;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;68,3069612093454
01056201022750004; AZUAY;01;02275;0004;2,42;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;73,5556130866133
01056201022750005; AZUAY;01;02275;0005;2,13;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,5252516638441
01056201022750006; AZUAY;01;02275;0006;11,46;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,639955937114578
01056201022750007; AZUAY;01;02275;0007;1,12;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,9036283028321
01015701023160001; AZUAY;01;02316;0001;18,52;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,3166048652292
01015701023250001; AZUAY;01;02325;0001;3,03;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,4338682059937
01015701023250002; AZUAY;01;02325;0002;30,77;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,2996864051544
01015701023250003; AZUAY;01;02325;0003;12,52;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1437035821519
