Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ad_numt;ad_numl;rc_clacul;ad_k604;ad_k605;ad_k606;ad_k607;ad_k609;ad_k610;ad_k611;ad_k612;ad_k614;ad_autoconsumo;ad_clavecu;ad_prod;ventas;ad_tn;fact_exp_fin
01015701001030001; AZUAY;01;00103;0001;1;1;GUANABANA;30;1200;UNIDAD;4;FRUTA FRESCA;1100;UNIDAD;4;FRUTA FRESCA;100;GUANABANA;2,18181818181818;2;TOTAL NACIONAL;31,0889572847943
01015701001030001; AZUAY;01;00103;0001;1;2;NARANJA;3;150;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;150;NARANJA;,0204545454545455; ;TOTAL NACIONAL;31,0889572847943
01056101024340001; AZUAY;01;02434;0001;2;1;MANZANA;6;2;CANASTA;15;FRUTA FRESCA; ; ; ; ;2;MANZANA;,0136363636363636; ;TOTAL NACIONAL;281,90696090106
01056101024340001; AZUAY;01;02434;0001;2;2;OTROS PERMANENTES;2;2;CANASTA;20;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;281,90696090106
01056101024340003; AZUAY;01;02434;0003;1;1;GRANADILLA;10;4;BALDE;10;FRUTA FRESCA; ; ; ; ;4;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;42,0343908740055
01056101024340003; AZUAY;01;02434;0003;3;2;DURAZNO (MELOCOTON);6;4;CANASTA;8;FRUTA FRESCA; ; ; ; ;4;DURAZNO (MELOCOTON);,0145454545454545; ;TOTAL NACIONAL;122,784668079332
01056101024340006; AZUAY;01;02434;0006;1;1;GRANADILLA;6;1000;UNIDAD;,2;FRUTA FRESCA;950;UNIDAD;,2;FRUTA FRESCA;50;OTROS PERMANENTES;,0909090909090909;,0863636363636364;TOTAL NACIONAL;71,0794175224893
01056101024340007; AZUAY;01;02434;0007;3;1;OTROS PERMANENTES;5;5;BALDE;10;SIN ESTADO; ; ; ; ;5;OTROS PERMANENTES;,0227272727272727; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;2;LIMON;5;3;BALDE;15;FRUTA FRESCA; ; ; ; ;3;LIMON;,0204545454545455; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;3;DURAZNO (MELOCOTON);3;10;BALDE;15;FRUTA FRESCA; ; ; ; ;10;DURAZNO (MELOCOTON);,0681818181818182; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;4;CHIRIMOYA;2;20;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;20;CHIRIMOYA;,00227272727272727; ;TOTAL NACIONAL;53,5385399553122
01056101024340008; AZUAY;01;02434;0008;1;1;DURAZNO (MELOCOTON);5;100;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00454545454545455; ;TOTAL NACIONAL;92,0885010594988
01056101024340008; AZUAY;01;02434;0008;1;2;OTROS PERMANENTES;4;2;BALDE;15;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,0136363636363636; ;TOTAL NACIONAL;92,0885010594988
01056101024340009; AZUAY;01;02434;0009;1;1;OTROS PERMANENTES;3;9;BALDE;15;SIN ESTADO;9;BALDE;15;SIN ESTADO; ;OTROS PERMANENTES;,0613636363636364;,0613636363636364;TOTAL NACIONAL;34,1920399087645
01056101024340009; AZUAY;01;02434;0009;2;2;DURAZNO (MELOCOTON);3;9;BALDE;15;FRUTA FRESCA;9;BALDE;15;FRUTA FRESCA; ;DURAZNO (MELOCOTON);,0613636363636364;,0613636363636364;TOTAL NACIONAL;279,418082494047
01055001028170001; AZUAY;01;02817;0001;5;1;OTROS PERMANENTES;4;200;UNIDAD;,2;SIN ESTADO;150;UNIDAD;,2;SIN ESTADO;50;OTROS PERMANENTES;,0181818181818182;,0136363636363636;TOTAL NACIONAL;957,720411018788
01055001028170001; AZUAY;01;02817;0001;5;2;DURAZNO (MELOCOTON);2;100;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00909090909090909; ;TOTAL NACIONAL;957,720411018788
01055001028170002; AZUAY;01;02817;0002;2;1;TOMATE DE ARBOL;6;10;GALON;5;FRUTA FRESCA; ; ; ; ;10;TOMATE DE ARBOL;,0227272727272727; ;TOTAL NACIONAL;56,0495417259436
01055001028170003; AZUAY;01;02817;0003;3;1;OTROS PERMANENTES;2;40;UNIDAD;,1;SIN ESTADO; ; ; ; ;40;OTROS PERMANENTES;,00181818181818182; ;TOTAL NACIONAL;58,6047902238108
01055001028170004; AZUAY;01;02817;0004;3;1;OTROS PERMANENTES;3;100;UNIDAD;,1;SIN ESTADO; ; ; ; ;100;OTROS PERMANENTES;,00454545454545455; ;TOTAL NACIONAL;99,4666428260677
01055001028170004; AZUAY;01;02817;0004;3;2;MANDARINA;6;8;CANASTA;8;FRUTA FRESCA; ; ; ; ;8;MANDARINA;,0290909090909091; ;TOTAL NACIONAL;99,4666428260677
01055001028170006; AZUAY;01;02817;0006;1;1;OTROS PERMANENTES;1;20;UNIDAD;,15;SIN ESTADO; ; ; ; ;20;OTROS PERMANENTES;,00136363636363636; ;TOTAL NACIONAL;37,4360497460255
01056201028290002; AZUAY;01;02829;0002;1;1;MANZANA;5;5;CANASTA;15;FRUTA FRESCA; ; ; ; ;5;MANZANA;,0340909090909091; ;TOTAL NACIONAL;31,1662884967133
01056201028290002; AZUAY;01;02829;0002;1;2;PIMIENTA DULCE;4;2;CANASTA;7;GRANO SECO; ; ; ; ;2;OTROS PERMANENTES;,00636363636363636; ;TOTAL NACIONAL;31,1662884967133
01056201028290002; AZUAY;01;02829;0002;1;3;OTROS PERMANENTES;2;2;GALON;6;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,00545454545454545; ;TOTAL NACIONAL;31,1662884967133
01056201028290003; AZUAY;01;02829;0003;3;1;LIMON;2;200;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;200;LIMON;,0181818181818182; ;TOTAL NACIONAL;65,2915768773204
01056201028290003; AZUAY;01;02829;0003;3;2;AGUACATE;1;300;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;300;AGUACATE;,0272727272727273; ;TOTAL NACIONAL;65,2915768773204
01056201028290005; AZUAY;01;02829;0005;1;1;LIMON;2;3;BALDE;6;FRUTA FRESCA; ; ; ; ;3;LIMON;,00818181818181818; ;TOTAL NACIONAL;105,97091172973
01056201028290005; AZUAY;01;02829;0005;2;2;DURAZNO (MELOCOTON);1;3;BALDE;6;FRUTA FRESCA; ; ; ; ;3;DURAZNO (MELOCOTON);,00818181818181818; ;TOTAL NACIONAL;60,1755490406815
01056201028290005; AZUAY;01;02829;0005;2;3;AGUACATE;1;30;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;30;AGUACATE;,00409090909090909; ;TOTAL NACIONAL;60,1755490406815
01056201028290008; AZUAY;01;02829;0008;1;1;OTROS PERMANENTES;10;500;UNIDAD;,2;SIN ESTADO;400;UNIDAD;,2;SIN ESTADO;100;OTROS PERMANENTES;,0454545454545455;,0363636363636364;TOTAL NACIONAL;74,2396873406307
01056201028290008; AZUAY;01;02829;0008;1;2;LIMON;2;150;UNIDAD;,25;FRUTA FRESCA;100;UNIDAD;,25;FRUTA FRESCA;50;LIMON;,0170454545454545;,0113636363636364;TOTAL NACIONAL;74,2396873406307
01056201028290008; AZUAY;01;02829;0008;1;3;OTROS PERMANENTES;2;100;UNIDAD;,3;SIN ESTADO;80;UNIDAD;,3;SIN ESTADO;20;OTROS PERMANENTES;,0136363636363636;,0109090909090909;TOTAL NACIONAL;74,2396873406307
01056201028290009; AZUAY;01;02829;0009;3;1;DURAZNO (MELOCOTON);2;2;BALDE;6;FRUTA FRESCA; ; ; ; ;2;DURAZNO (MELOCOTON);,00545454545454545; ;TOTAL NACIONAL;178,535544396434
01056201028290009; AZUAY;01;02829;0009;3;2;OTROS PERMANENTES;2;3;BALDE;6;SIN ESTADO; ; ; ; ;3;OTROS PERMANENTES;,00818181818181818; ;TOTAL NACIONAL;178,535544396434
01056101030190001; AZUAY;01;03019;0001;5;1;DURAZNO (MELOCOTON);5;10;BALDE;6;FRUTA FRESCA; ; ; ; ;10;DURAZNO (MELOCOTON);,0272727272727273; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;5;3;MANDARINA;1;10;CANASTA;10;FRUTA FRESCA; ; ; ; ;10;MANDARINA;,0454545454545455; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;5;4;CAPULI;3;3;GALON;5;FRUTA FRESCA; ; ; ; ;3;OTROS PERMANENTES;,00681818181818182; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;9;2;AGUACATE;1;20;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;20;AGUACATE;,00272727272727273; ;TOTAL NACIONAL;118,418214733694
01055201034770001; AZUAY;01;03477;0001;1;1;MANDARINA;5;1;GAVETA;40;FRUTA FRESCA; ; ; ; ;1;MANDARINA;,0181818181818182; ;TOTAL NACIONAL;368,077462192772
01145001038390002; AZUAY;01;03839;0002;4;1;OTROS PERMANENTES;2;20;UNIDAD;,2;SIN ESTADO; ; ; ; ;20;OTROS PERMANENTES;,00181818181818182; ;TOTAL NACIONAL;80,9272641142695
01145001041930001; AZUAY;01;04193;0001;3;1;DURAZNO (MELOCOTON);3;100;UNIDAD;,16;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00727272727272727; ;TOTAL NACIONAL;22,5658308902556
01145001041930008; AZUAY;01;04193;0008;1;1;DURAZNO (MELOCOTON);5;100;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00454545454545455; ;TOTAL NACIONAL;78,648557661626
01145001041930008; AZUAY;01;04193;0008;1;2;LIMON;10;200;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;200;LIMON;,0136363636363636; ;TOTAL NACIONAL;78,648557661626
01145001041930008; AZUAY;01;04193;0008;1;3;PERA;1;50;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;50;PERA;,00340909090909091; ;TOTAL NACIONAL;78,648557661626
01055001043540001; AZUAY;01;04354;0001;3;1;AGUACATE;3;300;UNIDAD;,2;FRUTA FRESCA;250;UNIDAD;,2;FRUTA FRESCA;50;AGUACATE;,0272727272727273;,0227272727272727;TOTAL NACIONAL;19,5128067109857
01055001043540001; AZUAY;01;04354;0001;3;2;DURAZNO (MELOCOTON);2;200;UNIDAD;,1;FRUTA FRESCA;150;UNIDAD;,1;FRUTA FRESCA;50;DURAZNO (MELOCOTON);,00909090909090909;,00681818181818182;TOTAL NACIONAL;19,5128067109857
01055001043540001; AZUAY;01;04354;0001;3;3;LIMON;3;250;UNIDAD;,2;FRUTA FRESCA;200;UNIDAD;,2;FRUTA FRESCA;50;LIMON;,0227272727272727;,0181818181818182;TOTAL NACIONAL;19,5128067109857
01055001043540002; AZUAY;01;04354;0002;2;1;CAPULI;3;5;BALDE;4;FRUTA FRESCA; ; ; ; ;5;OTROS PERMANENTES;,00909090909090909; ;TOTAL NACIONAL;63,4571813106697
01055001043540002; AZUAY;01;04354;0002;2;2;DURAZNO (MELOCOTON);2;1;GALON;6;FRUTA FRESCA; ; ; ; ;1;DURAZNO (MELOCOTON);,00272727272727273; ;TOTAL NACIONAL;63,4571813106697
01055001043540003; AZUAY;01;04354;0003;5;1;AGUACATE;4;300;UNIDAD;,25;FRUTA FRESCA;250;UNIDAD;,25;FRUTA FRESCA;50;AGUACATE;,0340909090909091;,0284090909090909;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;2;PERA;3;200;UNIDAD;,25;FRUTA FRESCA;150;UNIDAD;,25;FRUTA FRESCA;50;PERA;,0227272727272727;,0170454545454545;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;3;DURAZNO (MELOCOTON);2;150;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;150;DURAZNO (MELOCOTON);,00681818181818182; ;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;4;LIMON;2;100;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;100;LIMON;,00909090909090909; ;TOTAL NACIONAL;76,2725084090638
01055001043540004; AZUAY;01;04354;0004;4;1;AGUACATE;5;3;GAVETA;80;FRUTA FRESCA;2;GAVETA;80;FRUTA FRESCA;1;AGUACATE;,109090909090909;,0727272727272727;TOTAL NACIONAL;57,6756089518591
01055001043540004; AZUAY;01;04354;0004;4;2;DURAZNO (MELOCOTON);6;2;GAVETA;50;FRUTA FRESCA;1;GAVETA;50;FRUTA FRESCA;1;DURAZNO (MELOCOTON);,0454545454545455;,0227272727272727;TOTAL NACIONAL;57,6756089518591
01055001043540004; AZUAY;01;04354;0004;4;3;CHIRIMOYA;4;1;GAVETA;60;FRUTA FRESCA;1;GAVETA;60;FRUTA FRESCA; ;CHIRIMOYA;,0272727272727273;,0272727272727273;TOTAL NACIONAL;57,6756089518591
01055001043540005; AZUAY;01;04354;0005;2;1;AGUACATE;40;20;GAVETA;80;FRUTA FRESCA;20;GAVETA;80;FRUTA FRESCA; ;AGUACATE;,727272727272727;,727272727272727;TOTAL NACIONAL;49,5917318858793
01055001043540005; AZUAY;01;04354;0005;2;2;DURAZNO (MELOCOTON);10;1;GAVETA;25;FRUTA FRESCA; ; ; ; ;1;DURAZNO (MELOCOTON);,0113636363636364; ;TOTAL NACIONAL;49,5917318858793
01015901044310004; AZUAY;01;04431;0004;3;1;TOMATE DE ARBOL;5;200;UNIDAD;,16;FRUTA FRESCA; ; ; ; ;200;TOMATE DE ARBOL;,0145454545454545; ;TOTAL NACIONAL;112,37989865922
01015901044310011; AZUAY;01;04431;0011;3;1;OTROS PERMANENTES;3;45;UNIDAD;,06;SIN ESTADO; ; ; ; ;45;OTROS PERMANENTES;,00122727272727273; ;TOTAL NACIONAL;106,681762952555
01015901044310011; AZUAY;01;04431;0011;3;2;MANZANA;3;150;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;150;MANZANA;,0136363636363636; ;TOTAL NACIONAL;106,681762952555
01055301053720003; AZUAY;01;05372;0003;3;1;CAPULI;2;2;BALDE;4;FRUTA FRESCA; ; ; ; ;2;OTROS PERMANENTES;,00363636363636364; ;TOTAL NACIONAL;86,6793386549229
01055301053720003; AZUAY;01;05372;0003;3;2;MANZANA;1;20;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;20;MANZANA;,00136363636363636; ;TOTAL NACIONAL;86,6793386549229
01055301053720003; AZUAY;01;05372;0003;3;3;CLAUDIA;3;1;BALDE;,05;FRUTA FRESCA; ; ; ; ;1;CLAUDIA;2,27272727272727E-05; ;TOTAL NACIONAL;86,6793386549229
01016201054340007; AZUAY;01;05434;0007;1;1;AGUACATE;6;80;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;80;AGUACATE;,00909090909090909; ;TOTAL NACIONAL;10,7398874290521
01016201054340007; AZUAY;01;05434;0007;1;2;CHIRIMOYA;1;20;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;20;CHIRIMOYA;,00136363636363636; ;TOTAL NACIONAL;10,7398874290521
01016201054340009; AZUAY;01;05434;0009;1;1;AGUACATE;1;50;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;50;AGUACATE;,00568181818181818; ;TOTAL NACIONAL;101,678979187857
01016201054340014; AZUAY;01;05434;0014;4;1;AGUACATE;3;300;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;300;AGUACATE;,0340909090909091; ;TOTAL NACIONAL;35,1761481524572
01016201054340014; AZUAY;01;05434;0014;4;2;HIGO;2;400;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;400;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;35,1761481524572
01016201054340014; AZUAY;01;05434;0014;4;3;LIMON;6;240;UNIDAD;,12;FRUTA FRESCA; ; ; ; ;240;LIMON;,0130909090909091; ;TOTAL NACIONAL;35,1761481524572
01016201054340014; AZUAY;01;05434;0014;4;4;MANZANA;1;500;UNIDAD;,16;FRUTA FRESCA; ; ; ; ;500;MANZANA;,0363636363636364; ;TOTAL NACIONAL;35,1761481524572
01055401055550004; AZUAY;01;05555;0004;1;1;TOMATE DE ARBOL;2;20;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;20;TOMATE DE ARBOL;,00227272727272727; ;TOTAL NACIONAL;32,1639671060204
01125301056940002; AZUAY;01;05694;0002;3;1;DURAZNO (MELOCOTON);10;200;UNIDAD;,16;FRUTA FRESCA; ; ; ; ;200;DURAZNO (MELOCOTON);,0145454545454545; ;TOTAL NACIONAL;70,2919598586838
01016701057660001; AZUAY;01;05766;0001;4;1;PERA;1;18;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;18;PERA;,00245454545454545; ;TOTAL NACIONAL;58,5716051783839
01016701057660001; AZUAY;01;05766;0001;4;2;DURAZNO (MELOCOTON);2;20;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;20;DURAZNO (MELOCOTON);,00227272727272727; ;TOTAL NACIONAL;58,5716051783839
01016701057660001; AZUAY;01;05766;0001;4;3;TOMATE DE ARBOL;5;300;UNIDAD;,04;FRUTA FRESCA;150;UNIDAD;,04;FRUTA FRESCA;150;TOMATE DE ARBOL;,00545454545454545;,00272727272727273;TOTAL NACIONAL;58,5716051783839
01016701057660001; AZUAY;01;05766;0001;4;4;OTROS PERMANENTES;3;50;UNIDAD;,04;SIN ESTADO; ; ; ; ;50;OTROS PERMANENTES;,000909090909090909; ;TOTAL NACIONAL;58,5716051783839
01016701057660004; AZUAY;01;05766;0004;3;1;TOMATE DE ARBOL;4;60;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;60;TOMATE DE ARBOL;,00545454545454545; ;TOTAL NACIONAL;78,5655950480589
01016701057660004; AZUAY;01;05766;0004;3;2;LIMON;2;50;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;50;LIMON;,00454545454545455; ;TOTAL NACIONAL;78,5655950480589
01016701057660005; AZUAY;01;05766;0005;2;1;TOMATE DE ARBOL;3;4;BALDE;3;FRUTA FRESCA; ; ; ; ;4;TOMATE DE ARBOL;,00545454545454545; ;TOTAL NACIONAL;43,8042599634373
01016701057660009; AZUAY;01;05766;0009;2;1;MANZANA;7;4;CANASTA;20;FRUTA FRESCA;3;CANASTA;20;FRUTA FRESCA;1;MANZANA;,0363636363636364;,0272727272727273;TOTAL NACIONAL;80,6396603872368
01016701057660009; AZUAY;01;05766;0009;2;2;LIMON;2;40;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;40;LIMON;,00363636363636364; ;TOTAL NACIONAL;80,6396603872368
01016701057660010; AZUAY;01;05766;0010;2;1;TOMATE DE ARBOL;3;3;BALDE;6;FRUTA FRESCA; ; ; ; ;3;TOMATE DE ARBOL;,00818181818181818; ;TOTAL NACIONAL;131,080929436043
01016701057660012; AZUAY;01;05766;0012;2;1;TOMATE DE ARBOL;3;60;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;60;TOMATE DE ARBOL;,00545454545454545; ;TOTAL NACIONAL;74,5833895968373
01016701057660017; AZUAY;01;05766;0017;1;1;MANZANA;2;1;BALDE;12;FRUTA FRESCA; ; ; ; ;1;MANZANA;,00545454545454545; ;TOTAL NACIONAL;21,2015568004852
01055401059150003; AZUAY;01;05915;0003;3;1;TOMATE DE ARBOL;8;4;BALDE;15;FRUTA FRESCA; ; ; ; ;4;TOMATE DE ARBOL;,0272727272727273; ;TOTAL NACIONAL;71,7428558494809
01055401059150003; AZUAY;01;05915;0003;3;2;DURAZNO (MELOCOTON);5;5;BALDE;30;FRUTA FRESCA; ; ; ; ;5;DURAZNO (MELOCOTON);,0681818181818182; ;TOTAL NACIONAL;71,7428558494809
01055401059150003; AZUAY;01;05915;0003;3;3;MANZANA;2;3;BALDE;20;FRUTA FRESCA; ; ; ; ;3;MANZANA;,0272727272727273; ;TOTAL NACIONAL;71,7428558494809
01055401059150003; AZUAY;01;05915;0003;3;4;CLAUDIA;3;2;BALDE;20;FRUTA FRESCA; ; ; ; ;2;CLAUDIA;,0181818181818182; ;TOTAL NACIONAL;71,7428558494809
01055401059150007; AZUAY;01;05915;0007;1;1;MANZANA;6;500;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;500;MANZANA;,00681818181818182; ;TOTAL NACIONAL;85,4510444845979
01055401059150007; AZUAY;01;05915;0007;1;2;DURAZNO (MELOCOTON);2;200;UNIDAD;,02;FRUTA FRESCA; ; ; ; ;200;DURAZNO (MELOCOTON);,00181818181818182; ;TOTAL NACIONAL;85,4510444845979
01035401067610001; AZUAY;01;06761;0001;2;2;PERA;1;30;UNIDAD;,04;FRUTA FRESCA; ; ; ; ;30;PERA;,000545454545454545; ;TOTAL NACIONAL;29,7006156570276
01035401067610001; AZUAY;01;06761;0001;3;1;DURAZNO (MELOCOTON);2;50;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;50;DURAZNO (MELOCOTON);,00568181818181818; ;TOTAL NACIONAL;12,2784668079332
01035401067610001; AZUAY;01;06761;0001;3;3;MANZANA;1;45;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;45;MANZANA;,00102272727272727; ;TOTAL NACIONAL;12,2784668079332
01035401067610001; AZUAY;01;06761;0001;3;4;TOMATE DE ARBOL;7;150;UNIDAD;,04;FRUTA FRESCA; ; ; ; ;150;TOMATE DE ARBOL;,00272727272727273; ;TOTAL NACIONAL;12,2784668079332
01035401067610006; AZUAY;01;06761;0006;2;1;DURAZNO (MELOCOTON);2;30;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;30;DURAZNO (MELOCOTON);,00272727272727273; ;TOTAL NACIONAL;65,0198027983936
01035401067610006; AZUAY;01;06761;0006;2;2;MANZANA;1;20;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;20;MANZANA;,000454545454545455; ;TOTAL NACIONAL;65,0198027983936
01035401067610006; AZUAY;01;06761;0006;2;3;CLAUDIA;1;30;UNIDAD;,01;FRUTA FRESCA; ; ; ; ;30;CLAUDIA;,000136363636363636; ;TOTAL NACIONAL;65,0198027983936
01035401067610008; AZUAY;01;06761;0008;1;1;DURAZNO (MELOCOTON);6;200;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;200;DURAZNO (MELOCOTON);,00909090909090909; ;TOTAL NACIONAL;89,2677721982169
01035401067610008; AZUAY;01;06761;0008;1;2;LIMON;2;50;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;50;LIMON;,00113636363636364; ;TOTAL NACIONAL;89,2677721982169
01035401067610009; AZUAY;01;06761;0009;1;1;DURAZNO (MELOCOTON);5;150;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;150;DURAZNO (MELOCOTON);,00681818181818182; ;TOTAL NACIONAL;3,98220545122157
01035401067610009; AZUAY;01;06761;0009;1;2;TOMATE DE ARBOL;2;80;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;80;TOMATE DE ARBOL;,00181818181818182; ;TOTAL NACIONAL;3,98220545122157
01035401067610010; AZUAY;01;06761;0010;2;1;DURAZNO (MELOCOTON);1;30;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;30;DURAZNO (MELOCOTON);,000681818181818182; ;TOTAL NACIONAL;99,7210615076735
01035401069550011; AZUAY;01;06955;0011;3;1;TOMATE DE ARBOL;5;80;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;80;TOMATE DE ARBOL;,00181818181818182; ;TOTAL NACIONAL;69,0248944878406
01035401069550011; AZUAY;01;06955;0011;3;2;PERA;1;20;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;20;PERA;,000909090909090909; ;TOTAL NACIONAL;69,0248944878406
01035401069550014; AZUAY;01;06955;0014;3;1;TOMATE DE ARBOL;3;1;SACO;50;FRUTA FRESCA; ; ; ; ;1;TOMATE DE ARBOL;,0227272727272727; ;TOTAL NACIONAL;86,2811181098007
01035401069550018; AZUAY;01;06955;0018;1;1;DURAZNO (MELOCOTON);2;70;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;70;DURAZNO (MELOCOTON);,00636363636363636; ;TOTAL NACIONAL;69,8877056689386
01035401069550018; AZUAY;01;06955;0018;2;2;CLAUDIA;3;2;BALDE;15;FRUTA FRESCA; ; ; ; ;2;CLAUDIA;,0136363636363636; ;TOTAL NACIONAL;45,1316617805111
01035401069550018; AZUAY;01;06955;0018;3;3;CAPULI;3;1;BALDE;10;FRUTA FRESCA; ; ; ; ;1;OTROS PERMANENTES;,00454545454545455; ;TOTAL NACIONAL;91,6855397936014
01055401070470002; AZUAY;01;07047;0002;1;1;DURAZNO (MELOCOTON);4;300;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;300;DURAZNO (MELOCOTON);,0204545454545455; ;TOTAL NACIONAL;55,8836164988094
01055401070470002; AZUAY;01;07047;0002;1;2;CHIRIMOYA;2;120;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;120;CHIRIMOYA;,0109090909090909; ;TOTAL NACIONAL;55,8836164988094
01035001072470001; AZUAY;01;07247;0001;4;1;AGUACATE;1;50;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;50;AGUACATE;,00454545454545455; ;TOTAL NACIONAL;90,9270244695592
01035201075800002; AZUAY;01;07580;0002;1;1;TOMATE DE ARBOL;10;100;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;100;TOMATE DE ARBOL;,00136363636363636; ;TOTAL NACIONAL;54,8078633408946
01035201075800002; AZUAY;01;07580;0002;1;2;CLAUDIA;2;60;UNIDAD;,02;FRUTA FRESCA; ; ; ; ;60;CLAUDIA;,000545454545454545; ;TOTAL NACIONAL;54,8078633408946
01035201075800006; AZUAY;01;07580;0006;2;1;BABACO;5;20;UNIDAD;1;FRUTA FRESCA; ; ; ; ;20;OTROS PERMANENTES;,00909090909090909; ;TOTAL NACIONAL;120,509215047681
01035201075800006; AZUAY;01;07580;0006;2;2;LIMON;2;40;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;40;LIMON;,00181818181818182; ;TOTAL NACIONAL;120,509215047681
01035201075800007; AZUAY;01;07580;0007;3;1;TOMATE DE ARBOL;5;70;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;70;TOMATE DE ARBOL;,00795454545454545; ;TOTAL NACIONAL;52,9015028768635
01035201075800007; AZUAY;01;07580;0007;3;2;DURAZNO (MELOCOTON);4;50;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;50;DURAZNO (MELOCOTON);,00681818181818182; ;TOTAL NACIONAL;52,9015028768635
01035201075800009; AZUAY;01;07580;0009;5;1;CLAUDIA;1;5;BALDE;5;FRUTA FRESCA; ; ; ; ;5;CLAUDIA;,0113636363636364; ;TOTAL NACIONAL;105,53066854458
01035201075800010; AZUAY;01;07580;0010;1;1;DURAZNO (MELOCOTON);4;50;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;50;DURAZNO (MELOCOTON);,00113636363636364; ;TOTAL NACIONAL;192,338153960282
01035201075800010; AZUAY;01;07580;0010;1;2;CLAUDIA;4;150;UNIDAD;,01;FRUTA FRESCA; ; ; ; ;150;CLAUDIA;,000681818181818182; ;TOTAL NACIONAL;192,338153960282
01016001080920007; AZUAY;01;08092;0007;5;1;LIMON;5;300;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;300;LIMON;,00409090909090909; ;TOTAL NACIONAL;131,412779890312
01016001080920007; AZUAY;01;08092;0007;5;2;DURAZNO (MELOCOTON);2;50;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;50;DURAZNO (MELOCOTON);,00568181818181818; ;TOTAL NACIONAL;131,412779890312
