Identificador;ual_prov;ual_estr;ual_segm;al_ncues;oe_superficie_ha;oe_k1101;oe_k1102;oe_k1103;oe_k1104;oe_trs;oe_trc;oe_tro;oe_znd;oe_tn;fact_exp_fin
01125001033490002; AZUAY;01;03349;0002;4,11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,4070474049031
01135001033610003; AZUAY;01;03361;0003;37,12; ;10; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,19169357634661
01135001033610004; AZUAY;01;03361;0004;12,37; ;10; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,97514063827936
01135001033620001; AZUAY;01;03362;0001;37,12; ;10; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,7923495949976
01015701037690001; AZUAY;01;03769;0001;24,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,8786944894761
01145001038390001; AZUAY;01;03839;0001;13,75; ;8; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,3665511653227
01015701039370001; AZUAY;01;03937;0001;40,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,9259733806177
01015701040980001; AZUAY;01;04098;0001;19,27; ;1;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,3935063175098
01015701042340001; AZUAY;01;04234;0001;17,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,0958177252195
01015701045480001; AZUAY;01;04548;0001;15,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,769029140029
01015701046750001; AZUAY;01;04675;0001;253,3; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,3581950954727
01015701049500001; AZUAY;01;04950;0001;55,77; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,7106117569166
01135001053250001; AZUAY;01;05325;0001;2,94; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,3339731733824
01135001053250002; AZUAY;01;05325;0002;1,97; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,4395382067788
01135001053250003; AZUAY;01;05325;0003;3,73; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,5587084208687
01135001053250004; AZUAY;01;05325;0004;2,62; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,9779990698329
01055401059150004; AZUAY;01;05915;0004;14,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,0627888281877
01055401059150007; AZUAY;01;05915;0007;1,3; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;71,1086308390746
01035401064920004; AZUAY;01;06492;0004;7,96; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,4443712758507
01035401069410002; AZUAY;01;06941;0002;9,25; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,7236845525247
01035401069550005; AZUAY;01;06955;0005;3,25; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,71118347887829
01035401069550021; AZUAY;01;06955;0021;,67; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,933542106321
01125301069780001; AZUAY;01;06978;0001;5,1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,1808091355759
01015701070970001; AZUAY;01;07097;0001;7,53; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,5576982101035
01015701070970002; AZUAY;01;07097;0002;6,79; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,3654999393228
01125301074240001; AZUAY;01;07424;0001;12,38; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,0896077784951
01125301074240002; AZUAY;01;07424;0002;5,53; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,28200307137617
01125301074240003; AZUAY;01;07424;0003;4,6;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,0923419879304
01035201074300001; AZUAY;01;07430;0001;12,85; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2669260583043
01015301074950001; AZUAY;01;07495;0001;85,17; ;2;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,01347252192464
01035201075800010; AZUAY;01;07580;0010;2,46; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,1693257054565
01035201075800011; AZUAY;01;07580;0011;,15; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,4770755361544
01016301076910002; AZUAY;01;07691;0002;6; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,2082509941742
01015301076950001; AZUAY;01;07695;0001;85,17; ;2;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,01339459531802
01015801078360001; AZUAY;01;07836;0001;25; ;10; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,8932327073294
01035601081240003; AZUAY;01;08124;0003;5,55; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,2692666327879
01015301084280001; AZUAY;01;08428;0001;9,27; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,6431634292557
01015301084280002; AZUAY;01;08428;0002;7,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,2480018120709
01035601085230005; AZUAY;01;08523;0005;9,51; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,8947784855006
01015301086280001; AZUAY;01;08628;0001;23,21; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,3819456653372
01035001087250004; AZUAY;01;08725;0004;5,46; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,0077209510905
01035001087250008; AZUAY;01;08725;0008;2,38; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2075976691949
01017001089340001; AZUAY;01;08934;0001;3,9; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,6414243641595
01015301090940001; AZUAY;01;09094;0001;33,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,6332121719471
01085201091280001; AZUAY;01;09128;0001;578,69; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,03221209573906
01015301094290001; AZUAY;01;09429;0001;9,12; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;63,4103632275748
01015301094290002; AZUAY;01;09429;0002;10,34; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,68877861737008
01035001094910001; AZUAY;01;09491;0001;11,08; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,2250032731121
01035001094910003; AZUAY;01;09491;0003;5; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,3819322562519
01115001097580002; AZUAY;01;09758;0002;7,43; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,1916209141471
01115001097580005; AZUAY;01;09758;0005;5,26; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,68681736655318
01115001097580008; AZUAY;01;09758;0008;7,58; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,34382613093892
01115201097620001; AZUAY;01;09762;0001;5,28; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,71620067104699
01085201098660001; AZUAY;01;09866;0001;18,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,0988960112
01085201098660002; AZUAY;01;09866;0002;10,31; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,5556461262281
01017001100940018; AZUAY;01;10094;0018;1,26; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,5418152766461
01085201104030002; AZUAY;01;10403;0002;14,01; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,10279297468743
01035701107590002; AZUAY;01;10759;0002;4,97; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,7988853804454
01016801108590005; AZUAY;01;10859;0005;1,29; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;67,1006763499119
01016801108590008; AZUAY;01;10859;0008;8,15; ;12; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,39589877826054
01085201108990001; AZUAY;01;10899;0001;9,27; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,27022911298849
01016401112300008; AZUAY;01;11230;0008;9,55; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,4488610453862
01036001114830001; AZUAY;01;11483;0001;1,04; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,7895884009197
01016801115990001; AZUAY;01;11599;0001;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,3345416530358
01115301117410003; AZUAY;01;11741;0003;1,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,6218580497828
01115301117410005; AZUAY;01;11741;0005;2,78; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;63,0211375255969
01115301117410009; AZUAY;01;11741;0009;3,42; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,67649653402348
01016401117600001; AZUAY;01;11760;0001;14,79; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,2620874413601
01016401117600002; AZUAY;01;11760;0002;5,74; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,0391971428033
01016401117600004; AZUAY;01;11760;0004;2,11; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,8170217003118
01016401117600005; AZUAY;01;11760;0005;6,77; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,8691312058556
01016801122510010; AZUAY;01;12251;0010;30; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,3855622989179
01016801123170005; AZUAY;01;12317;0005;18,55; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,9266021638991
01115301124020002; AZUAY;01;12402;0002;7,29; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,1603814471256
01115301124160002; AZUAY;01;12416;0002;7,76; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,0295442608418
01115301124160004; AZUAY;01;12416;0004;,78; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;50,2200354126276
01115401124270001; AZUAY;01;12427;0001;15,43; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,5963027970331
01095301128740023; AZUAY;01;12874;0023;11,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,7827028372295
01155001132420001; AZUAY;01;13242;0001;180,02; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,31813586092232
01016801132730001; AZUAY;01;13273;0001;46,45; ;10; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,6899042172189
01016801134220016; AZUAY;01;13422;0016;,27; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,9957793839267
01016101135390006; AZUAY;01;13539;0006;11,07; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,81783302139473
01016101135390013; AZUAY;01;13539;0013;10,86; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,15515881873166
01017101136610002; AZUAY;01;13661;0002;7,51; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,1090423933788
01017101136610003; AZUAY;01;13661;0003;17,41;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,6272781985378
01085301136860001; AZUAY;01;13686;0001;11,17; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,5515241792343
01095001137570007; AZUAY;01;13757;0007;2,79; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,3860857738908
01095001137570009; AZUAY;01;13757;0009;5,99;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,0128717674158
01095301137800002; AZUAY;01;13780;0002;2,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,4148520590386
01095301137800008; AZUAY;01;13780;0008;2,08; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,2812047158526
01017101140840001; AZUAY;01;14084;0001;7,43; ; ; ;12;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,33726102586114
01017101140840002; AZUAY;01;14084;0002;3,02; ; ; ;8;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,4361942421725
01017101140840003; AZUAY;01;14084;0003;25,4; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,8033669763555
01016801140890001; AZUAY;01;14089;0001;132; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,23606603983614
01016801140890004; AZUAY;01;14089;0004;5,63; ; ; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,7616527090258
01095001141930003; AZUAY;01;14193;0003;5,17; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,9188187859952
01085301142620001; AZUAY;01;14262;0001;18,49; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,7154606508951
