Identificador;ual_prov;ual_estr;ual_segm;al_ncues;oe_superficie_ha;oe_k1101;oe_k1102;oe_k1103;oe_k1104;oe_trs;oe_trc;oe_tro;oe_znd;oe_tn;fact_exp_fin
03035801063320001;CAÑAR;01;06332;0001;57; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,3471434734617
03015301064710001;CAÑAR;01;06471;0001;8,53; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,8173157823631
03015301064710002;CAÑAR;01;06471;0002;8,24; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,3287160056847
03015301064710004;CAÑAR;01;06471;0004;9,52; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,8566638576184
03015601064840001;CAÑAR;01;06484;0001;6,04; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,431870431159
03015601064840002;CAÑAR;01;06484;0002;9,53; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,2608157761816
03035501066570004;CAÑAR;01;06657;0004;5,38;1;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,5648160595961
03035501066670001;CAÑAR;01;06667;0001;11,34; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,04919479697746
03035501066670003;CAÑAR;01;06667;0003;14,02; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,574877119279
03035501066670004;CAÑAR;01;06667;0004;7,02;1;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,10736744131808
03016001067600002;CAÑAR;01;06760;0002;1,21; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,32194582696254
03016001067600004;CAÑAR;01;06760;0004;9; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2650134619667
03016001068690006;CAÑAR;01;06869;0006;3,37; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,6139113186813
03016001069570003;CAÑAR;01;06957;0003;3,77; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,6623348738398
03025401069870002;CAÑAR;01;06987;0002;7,02; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;73,9074096435174
03025401069900003;CAÑAR;01;06990;0003;21,02;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,06838894250289
03025001072200001;CAÑAR;01;07220;0001;16,69;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,8400985748125
03025401073150006;CAÑAR;01;07315;0006;5,96; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,06834344964503
03025401073150007;CAÑAR;01;07315;0007;,42; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;88,430237685434
03025401073150011;CAÑAR;01;07315;0011;7,17; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,8208320593333
03025001073470003;CAÑAR;01;07347;0003;14,82; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,82904971558426
03015101079610004;CAÑAR;01;07961;0004;3,64; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,6625242676393
03015501079690001;CAÑAR;01;07969;0001;8,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,8619863145599
03065001080620002;CAÑAR;01;08062;0002;14,45; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,3967759371652
03065001081980003;CAÑAR;01;08198;0003;6,88; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,1893875148253
03065001082640001;CAÑAR;01;08264;0001;2,56; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,7358504370733
03065001082640002;CAÑAR;01;08264;0002;5,37;1;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,5821247824673
03065001082640005;CAÑAR;01;08264;0005;2,1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;83,8268620416034
03065001086220004;CAÑAR;01;08622;0004;,18; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,5899431979974
03065001086220010;CAÑAR;01;08622;0010;,38; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,9348494112291
03045202005710001;CAÑAR;02;00571;0001;80,12; ;9; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,7422884208746
03035103000790002;CAÑAR;03;00079;0002;100; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,8444836302512
03035103000790003;CAÑAR;03;00079;0003;54; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,089962240461
03035103000790004;CAÑAR;03;00079;0004;10; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,3597856987974
03035103000790005;CAÑAR;03;00079;0005;39,01; ;1;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,449669182887286
03036303001070003;CAÑAR;03;00107;0003;50; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,3617094031306
03036303001070009;CAÑAR;03;00107;0009;33,75; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,8483538549755
03036303001070010;CAÑAR;03;00107;0010;16; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,8091011988352
03035703001230007;CAÑAR;03;00123;0007;6,59; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,589492364392
03035703001230008;CAÑAR;03;00123;0008;32,12;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,0229488931655
03035803002580002;CAÑAR;03;00258;0002;9,03; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,6521964076044
03035803002580005;CAÑAR;03;00258;0005;9,53; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,6341030279272
03035803002580007;CAÑAR;03;00258;0007;2,52; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,0644377853439
03035803002580008;CAÑAR;03;00258;0008;15,02; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,7461574807892
03035403003110002;CAÑAR;03;00311;0002;47,54; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,09642664248357
03035403003110004;CAÑAR;03;00311;0004;11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,8327005292103
03035403003110006;CAÑAR;03;00311;0006;4,2; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,4048304778863
03035403003110007;CAÑAR;03;00311;0007;30,61;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,108359958892
03035403003110008;CAÑAR;03;00311;0008;9,03;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;61,5592193711721
03035403003110009;CAÑAR;03;00311;0009;7,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,07673887637113
03035403003110010;CAÑAR;03;00311;0010;8,78;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,214726376943
03035403003110013;CAÑAR;03;00311;0013;13,55;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;56,6626429863627
03035403003110018;CAÑAR;03;00311;0018;8,02;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,0647670783564343
03035803003430001;CAÑAR;03;00343;0001;88,7; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,1223958462761
03035803003430002;CAÑAR;03;00343;0002;72,6; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,3706367617633
03015603003530001;CAÑAR;03;00353;0001;116,21; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,8715096826722
03015603003530002;CAÑAR;03;00353;0002;60,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,5897978874324
03065003004620001;CAÑAR;03;00462;0001;5,04; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,9844697163897
03065003004620002;CAÑAR;03;00462;0002;7,63;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,3419880814176
03065003004620003;CAÑAR;03;00462;0003;5,89; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,9953974302024
03065003004620004;CAÑAR;03;00462;0004;13,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,90817144787203
03065003004620005;CAÑAR;03;00462;0005;1,01; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,5443588121305
03065003004620008;CAÑAR;03;00462;0008;3,75;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,0269435972383
03065003004620016;CAÑAR;03;00462;0016;5,18; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,6269419866738
03065003004620021;CAÑAR;03;00462;0021;38,07;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,9397275028958
03065003004620023;CAÑAR;03;00462;0023;10,05; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,6637628502911
03065003004620025;CAÑAR;03;00462;0025;8,48;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,61049731233707
03035104000090002;CAÑAR;04;00009;0002;60; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,2368944468524
03035104000090003;CAÑAR;04;00009;0003;104,2; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,94195096768031
03045052000992323;CAÑAR;52;00099;2323;1030;2;40;20; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1
03036254000991132;CAÑAR;54;00099;1132;10; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1
03045061000993037;CAÑAR;61;00099;3037;260; ;8;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1
03045062000990360;CAÑAR;62;00099;0360;63; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1
04015401004780002;CARCHI;01;00478;0002;2,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,1931279015872
04015401004780003;CARCHI;01;00478;0003;1,99; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,81319667052
04045201004920001;CARCHI;01;00492;0001;100; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,9358240167359
04045201007590001;CARCHI;01;00759;0001;200; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,96791200836795
04045201008060001;CARCHI;01;00806;0001;15; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,3227989401191
04015001009830001;CARCHI;01;00983;0001;43; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,37016602083755
04015001009830002;CARCHI;01;00983;0002;245; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,700023436422678
04015801010390004;CARCHI;01;01039;0004;11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,5340855161564
04015701010830001;CARCHI;01;01083;0001;2000; ;7; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,219807947962441
04015001010880001;CARCHI;01;01088;0001;245; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,42278531295343
04015001013690001;CARCHI;01;01369;0001;20,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,3901782930883
04015001013690002;CARCHI;01;01369;0002;65; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,08819244896453
04015001014140004;CARCHI;01;01414;0004;19; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,8268918676693
04015701014470001;CARCHI;01;01447;0001;23,7; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,55787670201447
04015001017700001;CARCHI;01;01770;0001;35,1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,02886433716709
04015001020050002;CARCHI;01;02005;0002;99,5; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,96861077076778
04015001020660001;CARCHI;01;02066;0001;60; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,58618351567194
04015001021070002;CARCHI;01;02107;0002;18; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,6686296534196
04015001021070003;CARCHI;01;02107;0003;7; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,9339084101084
04035201023410004;CARCHI;01;02341;0004;12; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,0113694329829
04035201026290004;CARCHI;01;02629;0004;100; ;20; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,59943010097297
04015301027270002;CARCHI;01;02727;0002;3; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,2502169077354
04015301027270003;CARCHI;01;02727;0003;6,04; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,23981085942866
04065001027550002;CARCHI;01;02755;0002;60; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,53696520494319
04035201028430007;CARCHI;01;02843;0007;5; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,142295223965713
04035201028430009;CARCHI;01;02843;0009;,31; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,0467540379947
04035201028430010;CARCHI;01;02843;0010;3;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,73158343319007
04015301028710002;CARCHI;01;02871;0002;12,24; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,1609934324225
04015301028710003;CARCHI;01;02871;0003;5,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,6699370473889
04015301028710004;CARCHI;01;02871;0004;3,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,3835318015739
04045101031190001;CARCHI;01;03119;0001;8,25; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,1770423196006
04045101031190002;CARCHI;01;03119;0002;15; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,2903784252122
04055201036450001;CARCHI;01;03645;0001;10; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,87423446598668
04055201036450002;CARCHI;01;03645;0002;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,08510833864961
04055201036450003;CARCHI;01;03645;0003;86; ;14; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,23596803475009
04035201038000002;CARCHI;01;03800;0002;1; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;62,3662672465718
04065001039200005;CARCHI;01;03920;0005;8; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,34896767581299
04065001039200008;CARCHI;01;03920;0008;,23; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,9141588590151
04045101040260001;CARCHI;01;04026;0001;24; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,3699809216305
04045101040260003;CARCHI;01;04026;0003;4; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,8859180590375
04035301040340002;CARCHI;01;04034;0002;6; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,3450085794698
04035301040340004;CARCHI;01;04034;0004;8; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,7105241925297
04015501044620001;CARCHI;01;04462;0001;80; ;6; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,196271278577772
04035301045500001;CARCHI;01;04550;0001;6,75; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,2041325953246
04035301045500002;CARCHI;01;04550;0002;4; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,7660432386901
04055001046140003;CARCHI;01;04614;0003;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,249994650751
04055201046710002;CARCHI;01;04671;0002;48; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,01099965723685
04055201046710003;CARCHI;01;04671;0003;40; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,32806390794437
04055001046890003;CARCHI;01;04689;0003;1,6; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,706839612968526
04055001046890009;CARCHI;01;04689;0009;1,71; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2648779677351
04035001047050003;CARCHI;01;04705;0003;,75; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,8491787824997
04035301049160001;CARCHI;01;04916;0001;212;2;15; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0
04045001049740001;CARCHI;01;04974;0001;477; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0
04055001050170012;CARCHI;01;05017;0012;3; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,15224432124854
04065001050490004;CARCHI;01;05049;0004;4; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,3445155451417
04065001052750003;CARCHI;01;05275;0003;9,05; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,47971407720304
04045001053430001;CARCHI;01;05343;0001;5,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,9003357864224
04045001053430004;CARCHI;01;05343;0004;7,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,669250430286
04055301054880002;CARCHI;01;05488;0002;80; ;6; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,81981737730059
04055301054880003;CARCHI;01;05488;0003;103,35; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,08458260389338
04055301056930001;CARCHI;01;05693;0001;103,35; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,00654579734188
04055301056930004;CARCHI;01;05693;0004;3,61; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,9793962171598
04055301056930007;CARCHI;01;05693;0007;80; ;6; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,104793082155218
04035301057840002;CARCHI;01;05784;0002;2; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,9375202822516
04035301057840007;CARCHI;01;05784;0007;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,45107580852032
04035301057840009;CARCHI;01;05784;0009;13,25; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,46193909595807
04045001058580005;CARCHI;01;05858;0005;10; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,05636895230509
04045001058580008;CARCHI;01;05858;0008;55,02; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,00597532916544957
04055401059940001;CARCHI;01;05994;0001;288; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,95748454703839
04045301060430002;CARCHI;01;06043;0002;1,5; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,0961076123286
04055001061360002;CARCHI;01;06136;0002;288; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,0296799579088852
04055001061360005;CARCHI;01;06136;0005;8; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,6073197461016
04045301063090001;CARCHI;01;06309;0001;4; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,1614494551718
04045301063090003;CARCHI;01;06309;0003;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,6130862696879
04045301063090004;CARCHI;01;06309;0004;2,6; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,2548645101516
04045301063090005;CARCHI;01;06309;0005;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8413703965261
04045001063230001;CARCHI;01;06323;0001;4;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,17640848272169
04045001063230003;CARCHI;01;06323;0003;11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,2773921800539
04045001063230004;CARCHI;01;06323;0004;3; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,661908722841845
04045301065170004;CARCHI;01;06517;0004;4; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,00131944675632
04055001066430003;CARCHI;01;06643;0003;64,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,74748796041197
04045301067130001;CARCHI;01;06713;0001;10,13; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2129794660404
04045301067130004;CARCHI;01;06713;0004;10; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,7140035420321
04025001069520001;CARCHI;01;06952;0001;246; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,0184962379343626
04025001069520006;CARCHI;01;06952;0006;3,02; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,1407731329684
04055501071430001;CARCHI;01;07143;0001;20; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,2977624060533
04055001073880006;CARCHI;01;07388;0006;17; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,3429725929123
04045001074360001;CARCHI;01;07436;0001;12,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,57480170214115
04045001074360002;CARCHI;01;07436;0002;10,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,3927767500737
04045001074360003;CARCHI;01;07436;0003;37; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,83047970905073
04045001074490004;CARCHI;01;07449;0004;,7; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,2204890963249
04045001075320001;CARCHI;01;07532;0001;5,2; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,9703907141078
04045001075320003;CARCHI;01;07532;0003;10,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,2717963867311
04045001075320004;CARCHI;01;07532;0004;8,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,30626554800299
04045001075320008;CARCHI;01;07532;0008;37; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,51657303760488
04025101078330001;CARCHI;01;07833;0001;13; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,5209768638049
04045001078710002;CARCHI;01;07871;0002;180;1;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,82035857535197
04055001079580002;CARCHI;01;07958;0002;9,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,42623382506
04045001080440002;CARCHI;01;08044;0002;3,25; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,0705927380999
04025201082530004;CARCHI;01;08253;0004;5,28; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,3185393163861
04055401082840010;CARCHI;01;08284;0010;7,5;2;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,6035118531644
04025201085880002;CARCHI;01;08588;0002;6; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,10741248963953
04055401086100001;CARCHI;01;08610;0001;14;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,9316906988638
04055401086180002;CARCHI;01;08618;0002;9; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,5455854336512
04055401086180007;CARCHI;01;08618;0007;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,12962833030691
04025001090990001;CARCHI;01;09099;0001;14; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,5427001986287
04025201092670001;CARCHI;01;09267;0001;10,85; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,9464994521058
04025201092670012;CARCHI;01;09267;0012;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,40410393270994
04025001093270001;CARCHI;01;09327;0001;10,77; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,6864396025193
04025001093270003;CARCHI;01;09327;0003;9,03; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,66432423585654
04025001093270005;CARCHI;01;09327;0005;7; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,507233742196683
04025001093270006;CARCHI;01;09327;0006;14,03; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,40243112721104
04025001094110001;CARCHI;01;09411;0001;11; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,0072969857671
04025201095450001;CARCHI;01;09545;0001;30; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,2542496373345
04025301099390001;CARCHI;01;09939;0001;15; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,1876264931227
04025501100230001;CARCHI;01;10023;0001;69; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,44900850753333
04025301101020004;CARCHI;01;10102;0004;2,5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,0276835926133
04015903000470010;CARCHI;03;00047;0010;65,01; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,6856304156993
04045203001100004;CARCHI;03;00110;0004;44; ; ; ;152;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;54,587963349932
04045203001100005;CARCHI;03;00110;0005;40; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,5231843721014
04045103001990002;CARCHI;03;00199;0002;39; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,45372888999099
04045103001990006;CARCHI;03;00199;0006;28,9; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,7710070521237
04045103001990017;CARCHI;03;00199;0017;33; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,14302199838069
04045103001990020;CARCHI;03;00199;0020;7; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,49334354462337
04045103001990021;CARCHI;03;00199;0021;15,25; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,36400965138677
