Identificador;ual_prov;ual_estr;ual_segm;al_ncues;fp_numl;rc_clacul;fp_numt;fp_k704;fp_k705;fp_k706ha;fp_k707ha;fp_k708;fp_k709;fp_k710;fp_k711;fp_k712;fp_venmernac;fp_venmerint;fp_prepasuelo;fp_poda;fp_tutoreo;fp_despunte;fp_riego;fp_superf_regada_ha;fp_porc_surc;fp_porc_aspe;fp_porc_micr;fp_porc_gote;fp_porc_nebu;fp_porc_otro;fp_aferti;fp_forg;fp_cant1_fo;fp_umed1_fo;fp_cant2_fo;fp_umed2_fo;fp_cant3_fo;fp_umed3_fo;fp_fqui;fp_cantidad_npk_fq;fp_umed_npk_fq;fp_cantidad_nit_fq;fp_umed_nit_fq;fp_cantidad_fq;fp_umed_fq;fp_cantidad_pot_fq;fp_umed_pot_fq;fp_apliplagui;fp_porg;fp_cantidad_po;fp_umedida_po;fp_pqui;fp_cantidad_her_pq;fp_umed_her_pq;fp_color_her_pq;fp_cantidad_ins_pq;fp_umed_ins_pq;fp_color_ins_pq;fp_cantidad_fun_pq;fp_umed_fun_pq;fp_color_fun_pq;fp_cantidad_pq;fp_umed_pq;fp_color_pq;fp_totrabcont;fp_trabfami;fp_clacu;fp_full_tabaco;fp_tabaco;fp_Bonche;fp_Bouquet;fp_tn;fact_exp_fin
05015901027070004;COTOPAXI;01;02707;0004;2;ROSA;2;BAJO INVERNADERO;7;,25;,25;4166;24996;BONCHE;950;25;100; ;1;1;1;1;SI;,25; ; ; ;100; ; ;SI;SI; ; ;63366; ; ; ;SI; ; ;942;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;,1;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ; ;950; ;TOTAL NACIONAL;54,3061059885168
05015901027070004;COTOPAXI;01;02707;0004;3;ROSA;3;BAJO INVERNADERO;7;,17;,17;2800;16800;BONCHE;638;25;100; ;1;1;1;1;SI;,17; ; ; ;100; ; ;SI;SI; ; ;43098,88; ; ; ;SI; ; ;640,56;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;,06;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ; ;638; ;TOTAL NACIONAL;3,45537721480311
05015901056510001;COTOPAXI;01;05651;0001;1;ROSA;1;BAJO INVERNADERO;2;19,5;19,5;1600000;10500000;TABACO;58450;150;16;84;1;1;1;1;SI;19,5; ; ; ;100; ; ;SI;SI; ; ;258972;KILOGRAMO; ; ;SI; ; ;6659288;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;11,56;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ;58450; ; ;TOTAL NACIONAL;13,0189274465993
05015901056510002;COTOPAXI;01;05651;0002;1;ROSA;1;BAJO INVERNADERO;5;13,13;13,13;937576;11636168;TABACO;69041;150;10;90;1;1;1;1;SI;13,13; ; ;100; ; ; ;SI;SI;138376,04;KILOGRAMO; ; ; ; ;SI; ; ;53856,59;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;131,3;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ;69041; ; ;TOTAL NACIONAL;0
05016101064230003;COTOPAXI;01;06423;0003;1;ROSA;1;BAJO INVERNADERO;3;4;4;256000;2400000;BONCHE;86400;25;10;90;1;1;1;1;SI;4; ; ; ;100; ; ;SI;SI; ; ; ; ;240000;LITRO;SI; ; ;80000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;40;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;86400; ;TOTAL NACIONAL;0
05016101064230003;COTOPAXI;01;06423;0003;2;ROSA;2;BAJO INVERNADERO;5;4;4;254000;2400000;BONCHE;86400;25;10;90;1;1;1;1;SI;4; ; ; ;100; ; ;SI;SI; ; ; ; ;240000;LITRO;SI; ; ;80000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;40;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;86400; ;TOTAL NACIONAL;0
05016101064230003;COTOPAXI;01;06423;0003;3;ROSA;3;BAJO INVERNADERO;7;7;7;448000;4200000;BONCHE;151200;25;10;90;1;1;1;1;SI;7; ; ; ;100; ; ;SI;SI; ; ; ; ;420000;LITRO;SI; ; ;140000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;70;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;151200; ;TOTAL NACIONAL;0
05016101081200004;COTOPAXI;01;08120;0004;1;ROSA;1;BAJO INVERNADERO;2;3,5;3,5;56298;394088;BONCHE;14660;25;99;1;1;1;1;1;SI;3,5; ; ; ;100; ; ;SI;SI;73,9;KILOGRAMO; ; ; ; ;SI; ; ;507;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;1,32;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ; ;14660; ;TOTAL NACIONAL;3,33520020706129
05065101081320015;COTOPAXI;01;08132;0015;1;CLAVEL;1;BAJO INVERNADERO;4;,07;,07;20000;24000;BONCHE;960;25;100; ;1;1;1;1;SI;,07; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;7;QUINTAL; ; ; ; ;SI;NO; ; ;SI; ; ; ;4;LITRO;AMARILLO; ; ; ; ; ; ; ; ;CLAVEL; ; ;960; ;TOTAL NACIONAL;81,123950921474
05065101081320017;COTOPAXI;01;08132;0017;1;CLAVEL;1;BAJO INVERNADERO;3;,07;,07;23000;36000;BONCHE;1440;25;100; ;1;1;1;1;SI;,07; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;9;QUINTAL; ; ; ; ;SI;NO; ; ;SI; ; ; ;4;LITRO;AMARILLO; ; ; ; ; ; ; ; ;CLAVEL; ; ;1440; ;TOTAL NACIONAL;92,4982244573932
05065101081350013;COTOPAXI;01;08135;0013;1;ROSA;1;BAJO INVERNADERO;2;,08;,08;7500;90000;BONCHE;3060;25;100; ;1;1;1;1;NO; ; ; ; ; ; ; ;SI;SI;19,2;QUINTAL; ;LIBRA;144;LITRO;SI; ; ;3;QUINTAL; ; ;3;QUINTAL;SI;SI;5;LITRO;SI; ; ; ;6;LITRO;AMARILLO;3;LITRO;AMARILLO;,04;LITRO;AMARILLO; ; ;ROSA; ; ;3060; ;TOTAL NACIONAL;88,2563724465804
05065101081350013;COTOPAXI;01;08135;0013;2;CLAVEL;2;BAJO INVERNADERO;2;,07;,07;5000;2275;BONCHE;91;25;100; ;1;1;1;1;NO; ; ; ; ; ; ; ;SI;SI;16,8;QUINTAL; ;LIBRA;144;LITRO;SI; ; ;3;QUINTAL; ; ;3;QUINTAL;SI;NO; ; ;SI; ; ; ;6;LITRO;AMARILLO;3;LITRO;AMARILLO;,04;LITRO;AMARILLO; ; ;CLAVEL; ; ;91; ;TOTAL NACIONAL;96,0703103612357
05065101081350013;COTOPAXI;01;08135;0013;3;CLAVEL;3;BAJO INVERNADERO;0;,1;,1;15000;15000;BONCHE;594;25;100; ;1;1;1;1;NO; ; ; ; ; ; ; ;SI;SI;9;QUINTAL; ;LIBRA;12;LITRO;SI; ; ;3;QUINTAL; ; ;3;QUINTAL;SI;NO; ; ;SI; ; ; ;6;LITRO;AMARILLO;,03;LITRO;AMARILLO; ; ; ; ; ;CLAVEL; ; ;594; ;TOTAL NACIONAL;18,4244430829767
05065101083620008;COTOPAXI;01;08362;0008;1;CLAVEL;1;BAJO INVERNADERO;0;,2;0;22000; ; ; ; ; ; ;1;2;2;2;SI;,2; ;100; ; ; ; ;NO; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;CLAVEL; ; ; ; ;TOTAL NACIONAL;15,8252805766282
05065001087890023;COTOPAXI;01;08789;0023;1;CLAVEL;1;BAJO INVERNADERO;4;,12;,12;40000;50000;BONCHE;2000;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;14;QUINTAL; ; ; ; ;SI;NO; ; ;SI; ; ; ;8;LITRO;AMARILLO; ; ; ; ; ; ; ; ;CLAVEL; ; ;2000; ;TOTAL NACIONAL;49,6253600895652
05015301091380001;COTOPAXI;01;09138;0001;1;ROSA;1;BAJO INVERNADERO;2;,26;,26;22000;201600;BONCHE;5040;30;100; ;1;1;1;1;SI;,26; ; ; ;100; ; ;SI;SI; ; ;200;LIBRA;600;LITRO;SI; ; ;300;KILOGRAMO; ; ;600;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;12;KILOGRAMO;VERDE;12;LITRO;VERDE; ; ;ROSA; ; ;5040; ;TOTAL NACIONAL;24,0175775903089
05015301091380001;COTOPAXI;01;09138;0001;2;ROSA;2;BAJO INVERNADERO;0;,18;,18;18000;1980;BONCHE;66;30;100; ;1;1;1;1;SI;,18; ; ; ;100; ; ;SI;SI; ; ;200;LIBRA;200;LITRO;SI; ; ;120;KILOGRAMO; ; ;250;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;5;KILOGRAMO;VERDE;5;LITRO;VERDE; ; ;ROSA; ; ;66; ;TOTAL NACIONAL;71,906507032173
