Identificador;ual_prov;ual_estr;ual_segm;al_ncues;fp_numl;rc_clacul;fp_numt;fp_k704;fp_k705;fp_k706ha;fp_k707ha;fp_k708;fp_k709;fp_k710;fp_k711;fp_k712;fp_venmernac;fp_venmerint;fp_prepasuelo;fp_poda;fp_tutoreo;fp_despunte;fp_riego;fp_superf_regada_ha;fp_porc_surc;fp_porc_aspe;fp_porc_micr;fp_porc_gote;fp_porc_nebu;fp_porc_otro;fp_aferti;fp_forg;fp_cant1_fo;fp_umed1_fo;fp_cant2_fo;fp_umed2_fo;fp_cant3_fo;fp_umed3_fo;fp_fqui;fp_cantidad_npk_fq;fp_umed_npk_fq;fp_cantidad_nit_fq;fp_umed_nit_fq;fp_cantidad_fq;fp_umed_fq;fp_cantidad_pot_fq;fp_umed_pot_fq;fp_apliplagui;fp_porg;fp_cantidad_po;fp_umedida_po;fp_pqui;fp_cantidad_her_pq;fp_umed_her_pq;fp_color_her_pq;fp_cantidad_ins_pq;fp_umed_ins_pq;fp_color_ins_pq;fp_cantidad_fun_pq;fp_umed_fun_pq;fp_color_fun_pq;fp_cantidad_pq;fp_umed_pq;fp_color_pq;fp_totrabcont;fp_trabfami;fp_clacu;fp_full_tabaco;fp_tabaco;fp_Bonche;fp_Bouquet;fp_tn;fact_exp_fin
05015101098240018;COTOPAXI;01;09824;0018;3;ROSA;4;BAJO INVERNADERO;7;,64;,64;55000;660000;FULL TABACO;1980;300; ;100;1;1;1;1;SI;,64; ; ; ;100; ; ;SI;SI; ; ;72;QUINTAL; ; ;SI; ; ;48;QUINTAL;48;QUINTAL;24;QUINTAL;SI;NO; ; ;SI; ; ; ;16;LITRO;VERDE; ; ; ;1;LITRO;AZUL; ; ;ROSA;1980; ; ; ;TOTAL NACIONAL;34,2168228683853
05065001098460010;COTOPAXI;01;09846;0010;1;CLAVEL;1;BAJO INVERNADERO;4;,12;,12;35000;152000;BONCHE;6080;25;1;99;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;336;KILOGRAMO; ; ;144;KILOGRAMO;SI;NO; ; ;SI; ; ; ;3;LITRO;AMARILLO;6;LITRO;AZUL;1;LITRO;AMARILLO; ; ;CLAVEL; ; ;6080; ;TOTAL NACIONAL;83,4583403937219
05015101102830001;COTOPAXI;01;10283;0001;1;OTRAS FLORES PERMANENTES;3;BAJO INVERNADERO;6;,5;0;5000; ; ; ; ; ; ;1;1;1;1;SI;,5; ;100; ; ; ; ;SI;SI;20;QUINTAL; ; ;100;LITRO;SI;15;QUINTAL; ; ; ; ;8;QUINTAL;SI;SI;10;LITRO;SI;10;LITRO;AMARILLO;10;LITRO;AMARILLO; ; ; ; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ; ;TOTAL NACIONAL;15,0817226950652
05015101102830001;COTOPAXI;01;10283;0001;2;OTRAS FLORES PERMANENTES;4;BAJO INVERNADERO;6;,5; ;5000; ; ; ; ; ; ;1;1;1;1;SI;,5; ;100; ; ; ; ;SI;SI;20;QUINTAL; ; ;100;LITRO;SI;15;QUINTAL; ; ; ; ;8;QUINTAL;SI;SI;10;LITRO;SI;10;LITRO;AMARILLO;10;LITRO;AMARILLO; ; ; ; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ; ;TOTAL NACIONAL;11,8969261050078
05015801107710005;COTOPAXI;01;10771;0005;1;CLAVEL;1;BAJO INVERNADERO;10;,14;,14;3000;30000;BONCHE;1080;25;100; ;1;1;1;1;SI;,14; ; ; ;100; ; ;SI;SI;130;KILOGRAMO;150;KILOGRAMO; ; ;SI; ; ; ; ;2;LITRO; ; ;SI;NO; ; ;SI;1;LITRO;AMARILLO;2;LITRO;AMARILLO; ; ; ;1,5;LITRO;AMARILLO; ; ;CLAVEL; ; ;1080; ;TOTAL NACIONAL;64,4855507904185
05015101111270004;COTOPAXI;01;11127;0004;1;CLAVEL;1;BAJO INVERNADERO;2;,2;,2;30000;36000;BONCHE;1440;25;100; ;1;1;1;1;SI;,2; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;960;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;6;LITRO;AMARILLO; ; ; ; ; ; ; ;1;CLAVEL; ; ;1440; ;TOTAL NACIONAL;40,6324771562075
05065201114360023;COTOPAXI;01;11436;0023;1;ROSA;1;BAJO INVERNADERO;2;,1;,1;9525;31200;BONCHE;1248;25;100; ;1;1;1;1;SI;,1; ; ; ;100; ; ;NO; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;ROSA; ; ;1248; ;TOTAL NACIONAL;1,64503956098006
05015001116420002;COTOPAXI;01;11642;0002;1;ROSA;2;BAJO INVERNADERO;3;,59;,59;40000;520000;BONCHE;18720;25;40;60;1;1;1;1;SI;,59; ; ; ;100; ; ;SI;SI; ; ; ; ;4;LITRO;SI; ; ;3;KILOGRAMO; ; ;15;KILOGRAMO;SI;NO; ; ;SI;1;LITRO;VERDE;1;LITRO;VERDE;1;LITRO;AZUL;,5;LITRO;AZUL;2;0;ROSA; ; ;18720; ;TOTAL NACIONAL;86,0327808366116
05015001116420005;COTOPAXI;01;11642;0005;1;CLAVEL;1;BAJO INVERNADERO;0;,37;,37;10000;120000;BONCHE;4224;25;10;90;1;1;1;1;SI;,37; ; ; ;100; ; ;SI;SI;20;KILOGRAMO; ;LIBRA;3;LITRO;SI;1;QUINTAL; ; ;2;KILOGRAMO;4;KILOGRAMO;SI;NO; ; ;SI;,5;LITRO;AMARILLO;1;LITRO;VERDE;,3;LITRO;VERDE;,5;LITRO;VERDE;1;0;CLAVEL; ; ;4224; ;TOTAL NACIONAL;52,8546764890027
05015001116420011;COTOPAXI;01;11642;0011;1;ROSA;1;BAJO INVERNADERO;5;1,15;1,15;25000;300000;TABACO;2450;120; ;100;1;1;1;1;SI;1,15; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;500;KILOGRAMO;323,6;KILOGRAMO;660;KILOGRAMO;SI;NO; ; ;SI;75;KILOGRAMO;VERDE;48;KILOGRAMO;VERDE;6;KILOGRAMO;AZUL;4;KILOGRAMO;VERDE; ; ;ROSA; ;2450; ; ;TOTAL NACIONAL;46,0439420772402
05015001116420011;COTOPAXI;01;11642;0011;2;ROSA;2;BAJO INVERNADERO;5;1,14;1,14;15000;180000;TABACO;1470;120; ;100;1;1;1;1;SI;1,14; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;490;KILOGRAMO;383;KILOGRAMO;660;KILOGRAMO;SI;NO; ; ;SI;75;KILOGRAMO;VERDE;48;KILOGRAMO;VERDE;6;KILOGRAMO;AZUL;4;KILOGRAMO;VERDE; ; ;ROSA; ;1470; ; ;TOTAL NACIONAL;40,5199218178247
05015001116420011;COTOPAXI;01;11642;0011;3;ROSA;3;BAJO INVERNADERO;5;1,2;1,2;50000;600000;TABACO;4900;120; ;100;1;1;1;1;SI;1,2; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;500;KILOGRAMO;383;KILOGRAMO;670;KILOGRAMO;SI;NO; ; ;SI;75;KILOGRAMO;VERDE;48;KILOGRAMO;VERDE;6;KILOGRAMO;AZUL;4;KILOGRAMO;VERDE; ; ;ROSA; ;4900; ; ;TOTAL NACIONAL;3,33394684358626
05015001116420011;COTOPAXI;01;11642;0011;4;ROSA;4;BAJO INVERNADERO;5;1,09;1,09;15000;180000;TABACO;1470;120; ;100;1;1;1;1;SI;1,09; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;480;KILOGRAMO;383;KILOGRAMO;650;KILOGRAMO;SI;NO; ; ;SI;70;KILOGRAMO;VERDE;48;KILOGRAMO;VERDE;6;KILOGRAMO;AZUL;4;KILOGRAMO;VERDE; ; ;ROSA; ;1470; ; ;TOTAL NACIONAL;4,1714581160999
05015801123530022;COTOPAXI;01;12353;0022;1;ROSA;1;BAJO INVERNADERO;1;,18;,18;20000;240000;BONCHE;9120;25;100; ;1;1;1;2;SI;,18; ; ; ;100; ; ;SI;SI;6;QUINTAL; ;LIBRA;1;LITRO;SI; ; ;,25;KILOGRAMO; ; ;,25;LIBRA;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;ROSA; ; ;9120; ;TOTAL NACIONAL;60,9395766256392
05015001138180006;COTOPAXI;01;13818;0006;1;CLAVEL;2;BAJO INVERNADERO;0;,3; ;54000; ; ; ; ; ; ;1;1;1;1;SI;,3; ; ; ;100; ; ;NO; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;CLAVEL; ; ; ; ;TOTAL NACIONAL;62,2263631266725
05015001138180006;COTOPAXI;01;13818;0006;2;CLAVEL;3;BAJO INVERNADERO;0;,68; ;54000; ; ; ; ; ; ;1;1;1;1;SI;,68; ; ; ;100; ; ;NO; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;CLAVEL; ; ; ; ;TOTAL NACIONAL;66,5370118899936
05015001148590008;COTOPAXI;01;14859;0008;1;CLAVEL;6;BAJO INVERNADERO;2;,3;,3;54000;648000;BOUQUET;64800;10;100; ;1;1;1;1;SI;,3; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;12;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;5;LITRO;AMARILLO; ; ; ; ; ; ; ;5;CLAVEL; ; ; ;64800;TOTAL NACIONAL;40,7311795298664
05015001148590008;COTOPAXI;01;14859;0008;2;CLAVEL;12;BAJO INVERNADERO;0;,3; ;54000; ; ; ; ; ; ;2;2;2;2;SI;,3; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;12;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;5;LITRO;AMARILLO; ; ; ; ; ; ; ;5;CLAVEL; ; ; ; ;TOTAL NACIONAL;38,9326029431948
05045001161360001;COTOPAXI;01;16136;0001;1;ROSA;1;BAJO INVERNADERO;15;1,5;1,5;100000;180000;BONCHE;6624;25; ;100;1;1;1;1;SI;1,5; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;25;KILOGRAMO;900;KILOGRAMO;825;KILOGRAMO;825;KILOGRAMO;SI;NO; ; ;SI; ; ; ;16,5;LITRO;VERDE;300;KILOGRAMO;VERDE;6;LITRO;VERDE; ; ;ROSA; ; ;6624; ;TOTAL NACIONAL;46,0479473909539
05045001161360001;COTOPAXI;01;16136;0001;2;ROSA;2;BAJO INVERNADERO;15;3;3;200000;360000;BONCHE;13248;25; ;100;1;1;1;1;SI;3; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;50;KILOGRAMO;1800;KILOGRAMO;1650;KILOGRAMO;1650;KILOGRAMO;SI;NO; ; ;SI; ; ; ;33;LITRO;VERDE;600;LITRO;VERDE;12;LITRO;VERDE; ; ;ROSA; ; ;13248; ;TOTAL NACIONAL;13,6165407927523
05015201169560001;COTOPAXI;01;16956;0001;1;ROSA;1;BAJO INVERNADERO;11;,3;,3;60000;60000;BONCHE;2400;25;100; ;1;1;1;1;SI;,3; ; ; ;100; ; ;SI;SI; ; ;70; ; ; ;SI;60;LITRO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;20;LITRO;AMARILLO;20;LITRO;AMARILLO; ; ; ; ; ;ROSA; ; ;2400; ;TOTAL NACIONAL;56,4577577328358
05045001185460036;COTOPAXI;01;18546;0036;1;CLAVEL;2;BAJO INVERNADERO;0;,03;,03;10000;10000;BONCHE;392;25;15;85;1;1;1;1;SI;,03; ; ; ;100; ; ;SI;SI; ; ;1;LIBRA;1;LITRO;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;CLAVEL; ; ;392; ;TOTAL NACIONAL;133,35787374345
05055301213570013;COTOPAXI;01;21357;0013;1;ROSA;1;BAJO INVERNADERO;10;23;23;1200000;10800000;TABACO;57600;150; ;100;1;1;1;1;SI;23; ;50; ;50; ; ;SI;SI; ; ;200;LIBRA;100;LITRO;SI; ; ;19200;KILOGRAMO;16000;KILOGRAMO;10000;KILOGRAMO;SI;SI;21000;LITRO;SI; ; ; ;100;LITRO;VERDE;80;LITRO;AZUL; ; ; ; ; ;ROSA; ;57600; ; ;TOTAL NACIONAL;4,88905757523275
05055004001000001;COTOPAXI;04;00100;0001;1;ROSA;1;BAJO INVERNADERO;25;10,2;10,2;832000;1081600;BONCHE;36774;25;15;85;1;1;1;1;SI;10,2; ; ; ;100; ; ;SI;SI; ; ;66000;QUINTAL; ; ;SI; ; ;10200;KILOGRAMO;5610;KILOGRAMO;11220;KILOGRAMO;SI;SI;68;LITRO;SI; ; ; ;672;LITRO;AZUL;1120;LITRO;AZUL;560;LITRO;VERDE;20; ;ROSA; ; ;36774; ;TOTAL NACIONAL;0
05015162000990323;COTOPAXI;62;00099;0323;1;ROSA;1;BAJO INVERNADERO;10;1,5;1,5;13287500;15379260;BONCHE;132499;25;8;92;1;1;1;1;SI;1,5; ; ; ;100; ; ;SI;SI; ; ;2;TONELADA; ; ;SI; ; ;2;TONELADA;1;TONELADA;1;TONELADA;SI;SI;1;QUINTAL;SI; ; ; ;,5;QUINTAL;VERDE;,5;QUINTAL;VERDE;,5;QUINTAL;AMARILLO; ; ;ROSA; ; ;132499; ;TOTAL NACIONAL;1
05015663000993596;COTOPAXI;63;00099;3596;1;ROSA;1;BAJO INVERNADERO;15;9,5;9,5;800000;8000000;BONCHE;288000;25; ;100;1;1;1;1;SI;9,5; ; ; ;100; ; ;SI;SI; ; ;4000;TONELADA; ; ;SI;15;TONELADA;20;TONELADA;8;TONELADA;6;TONELADA;SI;SI;260;LITRO;SI; ; ; ;80;LITRO;AMARILLO;800;LITRO;AZUL;50;KILOGRAMO;AZUL;9; ;ROSA; ; ;288000; ;TOTAL NACIONAL;1
05015663000993597;COTOPAXI;63;00099;3597;1;ROSA;1;BAJO INVERNADERO;28;10,73;10,73;687407;9666000;FULL TABACO;30206;320; ;100;1;1;1;1;SI;10,73; ; ; ;100; ; ;SI;SI; ; ;2467;KILOGRAMO; ; ;SI; ; ;1140;KILOGRAMO;234;KILOGRAMO;2744;KILOGRAMO;SI;SI;8;LITRO;SI; ; ; ;732;LITRO;AZUL;356;LITRO;AZUL;349;LITRO;AZUL; ; ;ROSA;30206; ; ; ;TOTAL NACIONAL;1
05015963000993601;COTOPAXI;63;00099;3601;1;ROSA;1;BAJO INVERNADERO;16;12,2;12,2;920000;9000000;FULL TABACO;360000;25;10;90;1;1;1;1;SI;12,2; ; ; ;100; ; ;SI;SI; ; ; ; ;2400;LITRO;SI; ; ;36000;KILOGRAMO;960;KILOGRAMO; ; ;SI;SI;960;LITRO;SI; ; ; ;630;LITRO;AZUL;1400;LITRO;VERDE; ; ; ; ; ;ROSA;360000; ; ; ;TOTAL NACIONAL;1
05015963000993602;COTOPAXI;63;00099;3602;1;ROSA;1;BAJO INVERNADERO;3;4;4;256000;2400000;BONCHE;86400;25;10;90;1;1;1;1;SI;4; ; ; ;100; ; ;SI;SI; ; ; ; ;240000;LITRO;SI; ; ;16000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;40;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;86400; ;TOTAL NACIONAL;1
05015963000993602;COTOPAXI;63;00099;3602;2;ROSA;2;BAJO INVERNADERO;5;4;4;254000;2400000;BONCHE;86400;25;10;90;1;1;1;1;SI;4; ; ; ;100; ; ;SI;SI; ; ; ; ;240000;LITRO;SI; ; ;16000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;40;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;86400; ;TOTAL NACIONAL;1
05015963000993602;COTOPAXI;63;00099;3602;3;ROSA;3;BAJO INVERNADERO;7;7;7;448000;4200000;BONCHE;151200;25;10;90;1;1;1;1;SI;7; ; ; ;100; ; ;SI;SI; ; ; ; ;420000;LITRO;SI; ; ;28000;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;70;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;151200; ;TOTAL NACIONAL;1
05015163000993612;COTOPAXI;63;00099;3612;1;ROSA;1;BAJO INVERNADERO;12;18;18;1450000;13050000;FULL TABACO;46458;250;5;95;1;1;1;1;SI;18; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;15000;KILOGRAMO;18000;KILOGRAMO;38800;KILOGRAMO;SI;SI;1500;LITRO;SI; ; ; ;235;LITRO;AZUL;445;LITRO;AZUL; ; ; ; ; ;ROSA;46458; ; ; ;TOTAL NACIONAL;1
05015963000993624;COTOPAXI;63;00099;3624;1;ROSA;1;BAJO INVERNADERO;7;10,04;10,04;7800000;39000000;BONCHE;1140400;25; ;100;1;1;1;1;SI;10,04; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;40;TONELADA;67;KILOGRAMO;578;KILOGRAMO;578;KILOGRAMO;SI;SI;638;KILOGRAMO;SI; ; ; ;938;LITRO;AZUL;938;LITRO;AMARILLO;938;LITRO;VERDE; ; ;ROSA; ; ;1140400; ;TOTAL NACIONAL;1
05015963000993625;COTOPAXI;63;00099;3625;1;ROSA;1;BAJO INVERNADERO;15;14;14;10000000;7700000;BONCHE;300000;20; ;100;1;1;1;1;SI;14; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;48;TONELADA;1800;KILOGRAMO;36;TONELADA;SI;NO; ; ;SI;2;KILOGRAMO;AZUL;816;LITRO;AMARILLO;360;KILOGRAMO;AZUL;360;LITRO;AZUL; ; ;ROSA; ; ;300000; ;TOTAL NACIONAL;1
05016163000993628;COTOPAXI;63;00099;3628;1;ROSA;1;BAJO INVERNADERO;15;10;10;781008;11300000;BONCHE;424880;25;6;94;1;1;1;1;SI;10; ; ; ;100; ; ;SI;SI; ; ;700;QUINTAL; ; ;SI; ; ;610;QUINTAL;300;QUINTAL;700;QUINTAL;SI;NO; ; ;SI; ; ; ;950;LITRO;VERDE;1000;KILOGRAMO;AZUL;200;LITRO;AZUL;10; ;ROSA; ; ;424880; ;TOTAL NACIONAL;1
05016163000993630;COTOPAXI;63;00099;3630;1;ROSA;1;BAJO INVERNADERO;32;16,62;16,62;1109000;4436000;FULL TABACO;13169;320;0;100;1;1;1;1;SI;16,62; ; ; ;100; ; ;SI;SI; ; ;3822;KILOGRAMO; ; ;SI;1092;KILOGRAMO;5268;KILOGRAMO;144;KILOGRAMO;744;KILOGRAMO;SI;SI;2094;KILOGRAMO;SI; ; ; ;1146,78;KILOGRAMO;AZUL;362,3;KILOGRAMO;AZUL;578,3;KILOGRAMO;AZUL; ; ;ROSA;13169; ; ; ;TOTAL NACIONAL;1
05016163000993631;COTOPAXI;63;00099;3631;1;ROSA;2;BAJO INVERNADERO;4;10;10;730000;7409500;TABACO;27267;250;5;95;1;1;1;1;SI;10; ; ; ;100; ; ;SI;SI; ; ;1700;QUINTAL; ; ;SI; ; ;8000;KILOGRAMO;7100;KILOGRAMO;12000;KILOGRAMO;SI;NO; ; ;SI; ; ; ;220;LITRO;VERDE;420;LITRO;VERDE;50;LITRO;VERDE; ; ;ROSA; ;27267; ; ;TOTAL NACIONAL;1
05016263000993632;COTOPAXI;63;00099;3632;1;ROSA;1;BAJO INVERNADERO;7;9,3;9,3;685000;7230000;TABACO;44826;150;7;93;1;1;1;1;SI;9,3; ; ; ;100; ; ;SI;SI; ; ;42;TONELADA; ; ;SI; ; ;70200;KILOGRAMO;8000;KILOGRAMO; ; ;SI;NO; ; ;SI; ; ; ;220;LITRO;AZUL;1250;LITRO;AZUL;800;LITRO;AZUL; ; ;ROSA; ;44826; ; ;TOTAL NACIONAL;1
05015663000993634;COTOPAXI;63;00099;3634;1;ROSA;1;BAJO INVERNADERO;31;8,05;8,05;551101;7245000;FULL TABACO;22640;320;8;92;1;1;1;1;SI;8,05; ; ; ;100; ; ;SI;SI; ; ;1851;LIBRA; ; ;SI; ; ;2364;KILOGRAMO;98;KILOGRAMO;372;KILOGRAMO;SI;SI;1500;LITRO;SI; ; ; ;674;LITRO;ROJO;193,9;LITRO;AZUL;393;LITRO;AZUL; ; ;ROSA;22640; ; ; ;TOTAL NACIONAL;1
05016163000993635;COTOPAXI;63;00099;3635;1;ROSA;1;BAJO INVERNADERO;24;10,12;10,12;80000;960000;FULL TABACO;2760;320;0;100;1;1;1;1;SI;10,12; ; ; ;100; ; ;SI;SI; ; ;2500;QUINTAL; ; ;SI; ; ;2930;KILOGRAMO; ; ;1265;KILOGRAMO;SI;SI;1406;KILOGRAMO;SI; ; ; ;769;LITRO;VERDE;242,8;KILOGRAMO;VERDE;387,5;LITRO;VERDE; ; ;ROSA;2760; ; ; ;TOTAL NACIONAL;1
05016163000993635;COTOPAXI;63;00099;3635;2;CARTUCHO - CALA;2;BAJO INVERNADERO;8;,88;,88;25000;275000;FULL TABACO;773;320;0;100;1;2;1;2;SI;,88; ; ; ;100; ; ;SI;SI; ; ;500;QUINTAL; ; ;SI; ; ;45;KILOGRAMO; ; ;130;KILOGRAMO;SI;NO; ; ;SI; ; ; ;30;LITRO;VERDE;120;LITRO;VERDE;10;LITRO;VERDE; ; ;OTRAS FLORES PERMANENTES;773; ; ; ;TOTAL NACIONAL;1
05016163000993636;COTOPAXI;63;00099;3636;1;ROSA;1;BAJO INVERNADERO;30;15,12;15,12;1043613;13608000;FULL TABACO;39123;320; ;100;1;1;1;1;SI;15,12; ; ; ;100; ; ;SI;SI; ; ;3448;QUINTAL; ; ;SI; ; ;3854;KILOGRAMO;684;KILOGRAMO;125;KILOGRAMO;SI;SI;1900;LITRO;SI; ; ; ;1160;LITRO;VERDE;360,7;KILOGRAMO;VERDE;574,9;LITRO;VERDE; ; ;ROSA;39123; ; ; ;TOTAL NACIONAL;1
05016163000993637;COTOPAXI;63;00099;3637;1;ROSA;1;BAJO INVERNADERO;24;9,6;9,6;737446;8640000;FULL TABACO;24840;320; ;100;1;1;1;1;SI;9,6; ; ; ;100; ; ;SI;SI; ; ;2478;QUINTAL; ; ;SI; ; ;2819;KILOGRAMO;358;KILOGRAMO;1227;KILOGRAMO;SI;SI;1336;KILOGRAMO;SI; ; ; ;729;LITRO;VERDE;230,3;KILOGRAMO;VERDE;344,4;LITRO;VERDE; ; ;ROSA;24840; ; ; ;TOTAL NACIONAL;1
05015663000993638;COTOPAXI;63;00099;3638;1;ROSA;1;BAJO INVERNADERO;10;19,46;19,46;1390000;15500000;BONCHE;480000;25;2;98;1;1;1;1;SI;19,46; ; ; ;100; ; ;SI;SI; ; ;10;TONELADA; ; ;SI; ; ;5500;KILOGRAMO;1600;KILOGRAMO;5500;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1700;KILOGRAMO;AZUL;340;KILOGRAMO;AZUL;720;KILOGRAMO;AZUL; ; ;ROSA; ; ;480000; ;TOTAL NACIONAL;1
05015663000993639;COTOPAXI;63;00099;3639;1;ROSA;1;BAJO INVERNADERO;27;14,74;14,74;1322783;15984416;TABACO;95611;150;10;90;1;1;1;1;SI;14,74; ; ; ;100; ; ;SI;SI; ; ;2356;TONELADA; ; ;SI; ; ;176894;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;41;KILOGRAMO;AMARILLO;1099;KILOGRAMO;AMARILLO;228,59;LITRO;AZUL;48; ;ROSA; ;95611; ; ;TOTAL NACIONAL;1
05016163000993642;COTOPAXI;63;00099;3642;1;ROSA;1;BAJO INVERNADERO;10;20,11;20,11;932267;14730000;BONCHE;553848;25;6;94;1;1;1;1;SI;20,11; ; ; ;100; ; ;SI;SI; ; ;1427,8;QUINTAL; ; ;SI; ; ;1367;QUINTAL;643;QUINTAL;1408;QUINTAL;SI;NO; ; ;SI; ; ; ;1810;LITRO;VERDE;210;LITRO;AZUL;420;LITRO;AZUL;20; ;ROSA; ; ;553848; ;TOTAL NACIONAL;1
05015963000993643;COTOPAXI;63;00099;3643;1;ROSA;1;BAJO INVERNADERO;5;4,5;4,5;342000;1368000;TABACO;53784;25;2;98;1;1;1;1;SI;4,5; ; ; ;100; ; ;SI;SI;14;TONELADA; ; ; ; ;SI;600;KILOGRAMO;110;KILOGRAMO;600;KILOGRAMO;1200;KILOGRAMO;SI;SI;120;LIBRA;SI; ; ; ;256;LITRO;AMARILLO;256;LITRO;AMARILLO; ; ; ; ; ;ROSA; ;53784; ; ;TOTAL NACIONAL;1
05015663000993644;COTOPAXI;63;00099;3644;1;ROSA;1;BAJO INVERNADERO;7;15;15;1300000;12500000;FULL TABACO;39583;300;5;95;1;1;1;1;SI;15; ; ; ;100; ; ;SI;SI; ; ;200;TONELADA;3000;LITRO;SI; ; ;20;TONELADA;15;TONELADA;80;TONELADA;SI;NO; ; ;SI; ; ; ;500;LITRO;AZUL;100;LITRO;AMARILLO;70;LITRO;AMARILLO; ; ;ROSA;39583; ; ; ;TOTAL NACIONAL;1
05015963000993645;COTOPAXI;63;00099;3645;1;ROSA;1;BAJO INVERNADERO;15;5,5;5,5;450000;4200000;FULL TABACO;13300;300;2;98;1;1;1;1;SI;5,5; ; ; ;100; ; ;SI;SI;4;TONELADA; ; ; ; ;SI;10;TONELADA;13;TONELADA;4;TONELADA;4;TONELADA;SI;NO; ; ;SI; ; ; ;38;LITRO;AMARILLO;500;LITRO;AMARILLO;40;LITRO;AZUL; ; ;ROSA;13300; ; ; ;TOTAL NACIONAL;1
05015063000993646;COTOPAXI;63;00099;3646;1;ROSA;2;BAJO INVERNADERO;5;,2;,2;18000;54000;BONCHE;2160;25;40;60;1;1;1;1;SI;,2; ; ; ;100; ; ;SI;SI; ; ; ; ;400;LITRO;SI;8;QUINTAL;2;QUINTAL;3;QUINTAL;1;QUINTAL;SI;NO; ; ;SI;2;LITRO;VERDE;4;LITRO;VERDE;6;LITRO;VERDE;3;LITRO;VERDE;2;2;ROSA; ; ;2160; ;TOTAL NACIONAL;1
05015163000993647;COTOPAXI;63;00099;3647;1;ROSA;2;BAJO INVERNADERO;17;1;1;80000;800000;TABACO;2930;250;6;94;1;1;1;1;SI;1; ; ; ;100; ; ;SI;SI;5;TONELADA;2,5;KILOGRAMO;380;LITRO;SI;610;KILOGRAMO;7200;KILOGRAMO;450;KILOGRAMO;500;KILOGRAMO;SI;SI;25;LITRO;SI;12;LITRO;AZUL;55;LITRO;AZUL;155;LITRO;VERDE;37;LITRO;AZUL;0;0;ROSA; ;2930; ; ;TOTAL NACIONAL;1
05015663000993648;COTOPAXI;63;00099;3648;1;ROSA;1;BAJO INVERNADERO;5;5,2;5,2;434841;4357791;TABACO;27599;150;5;95;1;1;1;1;SI;5,2; ; ; ;100; ; ;SI;SI; ; ;1504;TONELADA; ; ;SI;10;TONELADA;12;TONELADA;4;TONELADA;3;TONELADA;SI;NO; ; ;SI; ; ; ;40;LITRO;AMARILLO;52;LITRO;AMARILLO;70;LITRO;AZUL; ; ;ROSA; ;27599; ; ;TOTAL NACIONAL;1
05055363000993649;COTOPAXI;63;00099;3649;1;ROSA;1;BAJO INVERNADERO;12;37;37;2653276;35000000;TABACO;128800;250;8;92;1;1;1;1;SI;37; ; ; ;100; ; ;SI;SI; ; ;8009;QUINTAL; ; ;SI; ; ;99553;KILOGRAMO;69637;KILOGRAMO;29865;KILOGRAMO;SI;SI;2760;LITRO;SI; ; ; ;800;LITRO;VERDE;1332;KILOGRAMO;AMARILLO;530;LITRO;AZUL;120;0;ROSA; ;128800; ; ;TOTAL NACIONAL;1
