Identificador;ual_prov;ual_estr;ual_segm;al_ncues;gv_superficie_ha;gv_k1001;gv_k1002;gv_k1003;gv_trs;gv_trc;gv_tro;gv_znd;gv_tn;fact_exp_fin
01035401064920001; AZUAY;01;06492;0001;3,76;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,69180057151904
01035401064920002; AZUAY;01;06492;0002;1,51;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,8410209336609
01035401064920004; AZUAY;01;06492;0004;7,96;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,4443712758507
01035401064920005; AZUAY;01;06492;0005;4,02;10; ;10;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,4439287554118
01035401067610003; AZUAY;01;06761;0003;1;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,8467736437319
01035401067610006; AZUAY;01;06761;0006;,62;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,4539221016266
01035401067610007; AZUAY;01;06761;0007;,35;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,4598724648422
01035401067610009; AZUAY;01;06761;0009;1,31;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;78,3724378179981
01035401067610010; AZUAY;01;06761;0010;5,01;6;2;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,5133608803561
01035401069550002; AZUAY;01;06955;0002;,66;10;4;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,4451579977943
01035401069550003; AZUAY;01;06955;0003;1,64;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,11374662210466
01035401069550005; AZUAY;01;06955;0005;3,25;6;2;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,71118347887829
01035401069550008; AZUAY;01;06955;0008;1,71;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,827547714614
01035401069550009; AZUAY;01;06955;0009;,49;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,5929207232571
01035401069550017; AZUAY;01;06955;0017;,49;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,9889073804499
01035401069550019; AZUAY;01;06955;0019;,61;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,759826658076
01125301069780005; AZUAY;01;06978;0005;8,6;12;8;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,4631887730051
01055401070470001; AZUAY;01;07047;0001;4,83;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2282111076591
01015801071610011; AZUAY;01;07161;0011;,2;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,45124472439203
01125301074240003; AZUAY;01;07424;0003;4,6;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,0923419879304
01015801074720014; AZUAY;01;07472;0014;2,92;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,93457079600573
01035201075800004; AZUAY;01;07580;0004;3,46;7;3;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,7440086430692
01035201075800007; AZUAY;01;07580;0007;,29;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,2636477316917
01035201075800008; AZUAY;01;07580;0008;,68;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,5304680993455
01035201075800010; AZUAY;01;07580;0010;2,46;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,1693257054565
01035001077660001; AZUAY;01;07766;0001;12,05;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,5710222143764
01016001080920003; AZUAY;01;08092;0003;4,08;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,5236666740808
01016001080920007; AZUAY;01;08092;0007;,63;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;81,3823733086949
01035601081240003; AZUAY;01;08124;0003;5,55;6;2;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,2692666327879
01035601081240004; AZUAY;01;08124;0004;9,31;8;4;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,43310472284846
01035901081310003; AZUAY;01;08131;0003;6,52;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,58434012529436
01035601085230002; AZUAY;01;08523;0002;2,07;15;5;10;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,190768262590394
01035601085230004; AZUAY;01;08523;0004;1,38;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,2774710762914
01035601085230005; AZUAY;01;08523;0005;9,51;7;7; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,8947784855006
01035001087250003; AZUAY;01;08725;0003;,09;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;110,096787552875
01035001087250004; AZUAY;01;08725;0004;5,46;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,0077209510905
01035001087250006; AZUAY;01;08725;0006;1,66;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,4235007109788
01035001087250007; AZUAY;01;08725;0007;2,49;6;1;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,5435097648563
01017001089340004; AZUAY;01;08934;0004;,34;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;68,8492089532279
01035001094910002; AZUAY;01;09491;0002;4,41;11;2;9;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,5808351761472
01115001097580005; AZUAY;01;09758;0005;5,26;7;3;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,68681736655318
01115001097580007; AZUAY;01;09758;0007;3,39;5;5; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,516091141896
01016901098590005; AZUAY;01;09859;0005;,94;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;54,4799596837335
01016901098590012; AZUAY;01;09859;0012;,62;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,6655187311585
01017001100940002; AZUAY;01;10094;0002;,58;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,0706933285775
01017001100940004; AZUAY;01;10094;0004;,28;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,3584075104666
01017001100940012; AZUAY;01;10094;0012;4,36;6;2;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,9190977452647
01017001100940018; AZUAY;01;10094;0018;1,26;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,5418152766461
01016901101040001; AZUAY;01;10104;0001;,21;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,6192145365909
01016901101040004; AZUAY;01;10104;0004;,46;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;72,8772454134789
01016901101040006; AZUAY;01;10104;0006;2,6;3;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,9977445915421
01016901101040011; AZUAY;01;10104;0011;2,14;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,49838609733484
01016901101040014; AZUAY;01;10104;0014;3,54;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,5368537087171
01016901101040015; AZUAY;01;10104;0015;2,45;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,749643744832
01016401102290008; AZUAY;01;10229;0008;,42;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,1416225114822
01035701107590001; AZUAY;01;10759;0001;3,48;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,4240692177562
01035701107590003; AZUAY;01;10759;0003;9,28;7;1;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,1253561292516
01035701107590004; AZUAY;01;10759;0004;2,61;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,05404720414345
01115001107800005; AZUAY;01;10780;0005;2,19;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,4400046760969
01016401110750003; AZUAY;01;11075;0003;,53;7;1;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,0346073367599
01016401110750004; AZUAY;01;11075;0004;8,15;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,9614567345896
01016401110750006; AZUAY;01;11075;0006;3,05;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,5432716707218
01016401110750010; AZUAY;01;11075;0010;,38;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;61,8115135608472
01017001110910004; AZUAY;01;11091;0004;,31;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,0532532695003
01017001110910005; AZUAY;01;11091;0005;,62;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;78,6378528082626
01017001110910006; AZUAY;01;11091;0006;1,14;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;68,1981793210665
01017001110910007; AZUAY;01;11091;0007;,13;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,9920567673644
01017001110910010; AZUAY;01;11091;0010;2,3;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,02056104385409
01017001110910012; AZUAY;01;11091;0012;2,95;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,5321854463955
01016801111160002; AZUAY;01;11116;0002;,94;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;88,7099810091274
01016401112300008; AZUAY;01;11230;0008;9,55;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,4488610453862
01016401112300009; AZUAY;01;11230;0009;6,96;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,3760438613982
01016801114270002; AZUAY;01;11427;0002;2,4;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;63,3613134016588
01036001114830003; AZUAY;01;11483;0003;5,25;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,3138732095785
01016801115990001; AZUAY;01;11599;0001;5;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,3345416530358
01016801115990002; AZUAY;01;11599;0002;,23;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;169,712914296692
01016801116590003; AZUAY;01;11659;0003;5,21;15;3;12;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,9456126214798
01016801116590004; AZUAY;01;11659;0004;3,07;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,8472908309558
01016101116830001; AZUAY;01;11683;0001;10,56;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,7182530359429
01016101116830003; AZUAY;01;11683;0003;1,48;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,5577576691495
01016101116830005; AZUAY;01;11683;0005;,28;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,7642222286859
01115301117410001; AZUAY;01;11741;0001;1,2;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,8625133946778
01115301117410002; AZUAY;01;11741;0002;1,37;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,071172303561
01115301117410003; AZUAY;01;11741;0003;1,01;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,6218580497828
01115301117410006; AZUAY;01;11741;0006;,22;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,1975101160501
01016401117600003; AZUAY;01;11760;0003;8,15;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,1788597123761
01016401117600004; AZUAY;01;11760;0004;2,11;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,8170217003118
01016101119010001; AZUAY;01;11901;0001;,71;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,8903036400778
01016101119010004; AZUAY;01;11901;0004;,29;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,8773936795942
01016101119010012; AZUAY;01;11901;0012;1,05;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,6717594264402
01016801120880003; AZUAY;01;12088;0003;3,73;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,5925157625784
01016801120880005; AZUAY;01;12088;0005;7,29;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,3970502722778
01016801120920003; AZUAY;01;12092;0003;3,56;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,4824511315478
01016801120920004; AZUAY;01;12092;0004;1,42;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,2669810193891
01016801122510009; AZUAY;01;12251;0009;,22;7;2;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;67,9388384556893
01016801122510010; AZUAY;01;12251;0010;30;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,3855622989179
01016801123170001; AZUAY;01;12317;0001;5,82;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,11323622045673
01016801123170003; AZUAY;01;12317;0003;1,51;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,122537697752
