Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ct_numl;rc_clacul;ct_numt;ct_k504;ct_k505;ct_prepa_suelo;ct_k506;ct_k507;ct_k508;ct_k509;ct_k510ha;ct_k511ha;ct_k512;ct_k516;ct_k517;ct_k518;ct_k520;ct_afecta_prod;ct_k522;ct_k523;ct_k524;ct_k526;ct_venmernac;ct_venmerint;ct_vencenacop;ct_rdproven1;ct_rdproven2;ct_rdproven3;ct_rdproven4;ct_rdproven5;ct_rdproven6;ct_sdrenaje;ct_psdrenaje;ct_presueuti;ct_riego;ct_superf_regada_ha;ct_porc_surc;ct_porc_aspe;ct_porc_micr;ct_porc_gote;ct_porc_nebu;ct_porc_otro;ct_aferti;ct_forg;ct_cant1_fo;ct_umed1_fo;ct_cant2_fo;ct_umed2_fo;ct_cant3_fo;ct_umed3_fo;ct_fqui;ct_cantidad_npk_fq;ct_umed_npk_fq;ct_cantidad_nit_fq;ct_umed_nit_fq;ct_cantidad_fq;ct_umed_fq;ct_cantidad_pot_fq;ct_umed_pot_fq;ct_apliplagui;ct_porg;ct_cantidad_po;ct_umed_po;ct_pqui;ct_cantidad_her_pq;ct_umed_her_pq;ct_color_her_pq;ct_cantidad_ins_pq;ct_umed_ins_pq;ct_color_ins_pq;ct_cantidad_fun_pq;ct_umed_fun_pq;ct_color_fun_pq;ct_cantidad_pq;ct_umed_pq;ct_color_pq;ct_trabocacont;ct_trabfami;ct_piensasem_int;ct_supersem_int;ct_supersemha_int;ct_messiem_int;ct_condcult_int;ct_codcultiv1_int;ct_codcultiv2_int;ct_prod;ct_nclavr;ct_trs;ct_trc;ct_tro;ct_znd;ct_tn;superdida;ct_sequia;ct_helada;ct_plagas;ct_enfermedades;ct_inundacion;ct_otra;ct_secomun;ct_semejorada;ct_secertificada;ct_sehibrinac;ct_sehibrinter;ct_sriego;su_fertilizada;su_plaguicidas;Ventas;ct_nuevacondicion;fact_exp_fin
02055001133460006;BOLÍVAR;01;13346;0006;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;3;25;10;2;2; ;300;SACO;70;CHOCLO;6;284;SACO;70;CHOCLO;100; ;2;6; ; ; ;10; ;2; ;5;SI;2; ; ;100; ; ; ;SI;SI;80;QUINTAL; ; ; ; ;SI;250;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;12;LITRO;AMARILLO;4;LITRO;AMARILLO; ; ; ; ; ; ; ;5;1;2;2;MARZO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;9,54545454545454;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2; ; ; ; ;2;2;2;9,03636363636364;SOLO;13,166964098812
02055001133460007;BOLÍVAR;01;13346;0007;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;2;25;9;,5;,48;3;30;SACO;70;CHOCLO;6;30;SACO;70;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;100;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;,5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ;3;1;,5;,5;FEBRERO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;,954545454545455;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,02; ; ;,02; ; ; ;,5; ; ; ; ; ;,5;,5;,954545454545455;SOLO;60,5612652071834
02055001133460007;BOLÍVAR;01;13346;0007;2;MAIZ SUAVE CHOCLO (CHOCLO);2;1; ;2;1;2;25;9;,5;,48;3;32;SACO;70;CHOCLO;6;28;SACO;70;CHOCLO;100; ;2;2; ; ; ;2; ;2; ;4;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;100;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;,5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ;3;1;,5;,5;FEBRERO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;1,01818181818182;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,02; ; ;,02; ; ; ;,5; ; ; ; ; ;,5;,5;,890909090909091;SOLO;17,6010831140931
02055401136150001;BOLÍVAR;01;13615;0001;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;1;1;1;25;11;,69;,69; ;2;QUINTAL;100;GRANO SECO;3; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;100;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;4;LITRO;NO SABE; ; ; ; ; ; ; ;2;1;,75;,75;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;,0909090909090909;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,69; ; ; ; ; ;,69;,69; ;SOLO;43,872522259241
02055401136150002;BOLÍVAR;01;13615;0002;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;1;1;1;25;11;,5;,5; ;15;SACO;100;GRANO SECO;3;10;SACO;100;GRANO SECO;100; ;1; ;5; ; ; ; ;2; ;4;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;1;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,49;,49;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;,681818181818182;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,5; ; ; ; ; ;,5;,5;,454545454545455;SOLO;74,1493837744095
02055401136150003;BOLÍVAR;01;13615;0003;1;MAIZ SUAVE SECO (GRANO SECO);6;1; ;2;1;1;25;10;4,5;4,5; ;135;QUINTAL;100;GRANO SECO;2;135;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;1;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;8;QUINTAL;10;QUINTAL; ; ; ; ;SI;NO; ; ;SI; ; ; ;14;LITRO;VERDE;10;LITRO;VERDE; ; ; ; ; ;1;4,5;4,5;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;6,13636363636364;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4,5; ; ; ; ; ;4,5;4,5;6,13636363636364;SOLO;2,61135252148166
02055401136150003;BOLÍVAR;01;13615;0003;2;MAIZ SUAVE SECO (GRANO SECO);7;1; ;2;1;1;25;10;3;3; ;90;QUINTAL;100;GRANO SECO;2;90;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;1;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;7;QUINTAL;10;QUINTAL; ; ; ; ;SI;NO; ; ;SI; ; ; ;12;LITRO;VERDE;10;LITRO;VERDE; ; ; ; ; ;1;3;3;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;4,09090909090909;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;3; ; ; ; ; ;3;3;4,09090909090909;SOLO;11,7668354572221
02055001136960001;BOLÍVAR;01;13696;0001;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;1;25;8;1,3406;1,3406; ;30;QUINTAL;100;GRANO SECO;1;26;QUINTAL;100;GRANO SECO;100; ;2;2; ; ; ;2; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;300;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AMARILLO;4;LITRO;AMARILLO; ; ; ;2;LITRO;VERDE;3;1;1;1,9;1,3406;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;1,36363636363636;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,3406; ; ; ; ; ;1,3406;1,3406;1,18181818181818;SOLO;25,0328992383372
02055001136960002;BOLÍVAR;01;13696;0002;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;1;25;11;,7056;,7056; ;15;QUINTAL;100;GRANO SECO;1;12;QUINTAL;100;GRANO SECO;100; ;2;2; ; ; ;1; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;50;KILOGRAMO;50;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;4;LITRO;AMARILLO;1;LITRO;AZUL; ; ; ;,5;LITRO;VERDE; ;3;1;1;,7056;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;,681818181818182;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,7056; ; ; ; ; ;,7056;,7056;,545454545454545;SOLO;49,828180805945
02055001136960002;BOLÍVAR;01;13696;0002;2;MAIZ SUAVE SECO (GRANO SECO);2;1; ;2;1;1;25;11;,7056;,7056; ;15;QUINTAL;100;GRANO SECO;1;15;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;150;KILOGRAMO;50;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AMARILLO;1,5;LITRO;AZUL; ; ; ;,5;LITRO;VERDE; ;3;1;1;,7056;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;,681818181818182;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,7056; ; ; ; ; ;,7056;,7056;,681818181818182;SOLO;42,0990254803156
02055001136960003;BOLÍVAR;01;13696;0003;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;1;25;10;1,4112;1,4112; ;28;QUINTAL;100;GRANO SECO;1;26;QUINTAL;100;GRANO SECO;100; ;2;1; ; ; ;1; ;2; ;3;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO;300;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;12;LITRO;AZUL;2;LITRO;AMARILLO; ; ; ;1;LITRO;AMARILLO;4;3;1;2;1,4112;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;1,27272727272727;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,4112; ; ; ; ; ;1,4112;1,4112;1,18181818181818;SOLO;50,4882200602376
02055001136960004;BOLÍVAR;01;13696;0004;1;MAIZ SUAVE SECO (GRANO SECO);2;1; ;2;1;1;25;10;,7056;,7056; ;12;QUINTAL;100;GRANO SECO;1;8;QUINTAL;100;GRANO SECO;100; ;2;2; ; ; ;2; ;2; ;3;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO;50;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;4;LITRO;AMARILLO;1;LITRO;AMARILLO; ; ; ;1;LITRO;VERDE; ;2;1;1;,7056;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;,545454545454545;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,7056; ; ; ; ; ;,7056;,7056;,363636363636364;SOLO;61,508005871036
02055001136960004;BOLÍVAR;01;13696;0004;2;MAIZ SUAVE SECO (GRANO SECO);3;1; ;2;1;1;25;10;1,4112;1,4112; ;25;QUINTAL;100;GRANO SECO;1;25;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;3;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;400;KILOGRAMO;100;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AMARILLO;2;LITRO;AMARILLO; ; ; ;2;LITRO;VERDE; ;2;1;2;1,4112;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;1,13636363636364;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,4112; ; ; ; ; ;1,4112;1,4112;1,13636363636364;SOLO;22,5991701198013
02055001136960006;BOLÍVAR;01;13696;0006;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;1;25;10;1,3759;1,3759; ;30;QUINTAL;100;GRANO SECO;1;24;QUINTAL;100;GRANO SECO;100; ;2;2; ; ; ;4; ;2; ;4;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;400;KILOGRAMO;100;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AMARILLO;4;LITRO;AZUL; ; ; ;2;LITRO;VERDE;6;2;1;1,95;1,3759;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;1,36363636363636;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,3759; ; ; ; ; ;1,3759;1,3759;1,09090909090909;SOLO;79,6817052957618
02055001136960007;BOLÍVAR;01;13696;0007;1;MAIZ SUAVE SECO (GRANO SECO);2;1; ;2;1;1;25;10;1,4112;1,4112; ;32;QUINTAL;100;GRANO SECO;1;25;QUINTAL;100;GRANO SECO;100; ;2;3; ; ; ;4; ;2; ;3;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;500;KILOGRAMO;200;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;8;LITRO;VERDE;2,5;LITRO;AZUL; ; ; ;1,5;LITRO;VERDE;5;3;1;2;1,4112;ENERO;1;MAIZ SUAVE SECO (GRANO SECO); ;1,45454545454545;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,4112; ; ; ; ; ;1,4112;1,4112;1,13636363636364;SOLO;31,2705553953992
02055401139670001;BOLÍVAR;01;13967;0001;1;PAPA;1;1; ;2;1;5;25;11;,25;,25; ;70;SACO;100;TUBERCULO FRESCO;3;65;SACO;100;TUBERCULO FRESCO;100; ;1;1;4; ; ; ; ;2; ;4;SI;,25; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;150;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;5;LITRO;AZUL;5;LITRO;AZUL; ; ; ; ; ; ; ; ;1;,25;,25;FEBRERO;1;PAPA; ;3,18181818181818;PAPA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,25; ; ; ; ;,25;,25;,25;2,95454545454545;SOLO;6,18265082914842
02055401139670002;BOLÍVAR;01;13967;0002;1;FREJOL SECO (GRANO SECO);1;1; ;2;1;2;25;11;,15;,15; ;3;QUINTAL;100;GRANO SECO;6;2;QUINTAL;100;GRANO SECO;100; ;1; ;1; ; ; ; ;2; ;4;SI;,15; ; ; ; ; ;100;SI;NO; ; ; ; ; ; ;SI;15;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,15;,15;FEBRERO;1;FREJOL SECO (GRANO SECO); ;,136363636363636;FREJOL SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,15; ; ; ; ;,15;,15;,15;,0909090909090909;SOLO;79,2405248189983
02055401139670002;BOLÍVAR;01;13967;0002;2;MAIZ DURO CHOCLO (CHOCLO);2;1; ;2;2;2;25;6;,35;,35; ;4;QUINTAL;100;CHOCLO;6;3;QUINTAL;100;CHOCLO;100; ;1; ;1; ; ; ; ;2; ;4;SI;,35; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,35;,35;FEBRERO;1;MAIZ DURO CHOCLO (CHOCLO); ;,181818181818182;MAIZ DURO CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;,35; ; ; ;,35;,35;,35;,136363636363636;SOLO;93,8004168215157
02055401139670003;BOLÍVAR;01;13967;0003;1;FREJOL SECO (GRANO SECO);1;1; ;1;1;3;25;10;,39;,39; ;6;QUINTAL;100;GRANO SECO;2;5;QUINTAL;100;GRANO SECO;100; ;1; ;1; ; ; ; ;2; ;4;SI;,39; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;20;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,39;,39;FEBRERO;1;FREJOL SECO (GRANO SECO); ;,272727272727273;FREJOL SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,39; ; ; ; ;,39;,39;,39;,227272727272727;SOLO;25,8562320533752
02055401139670004;BOLÍVAR;01;13967;0004;1;FREJOL SECO (GRANO SECO);1;1; ;2;1;5;25;11;,5;,5; ;10;QUINTAL;100;GRANO SECO;6;9;QUINTAL;100;GRANO SECO;100; ;1; ;1; ; ; ; ;2; ;4;SI;,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;30;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,5;,5;MAYO;1;FREJOL SECO (GRANO SECO); ;,454545454545455;FREJOL SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,5; ; ; ; ;,5;,5;,5;,409090909090909;SOLO;60,2605967277698
02055401139670004;BOLÍVAR;01;13967;0004;2;TOMATE RIÑON;2;1; ;2;2;1;25;3;1,5;1,5; ;110;QUINTAL;100;FRUTA FRESCA;6;110;QUINTAL;100;FRUTA FRESCA;100; ;1; ; ; ; ; ; ;2; ;4;SI;1,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;250;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;1,5;1,5;MAYO;1;TOMATE RIÑON; ;5;TOMATE RIÑON;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;1,5; ; ; ;1,5;1,5;1,5;5;SOLO;41,5596528806512
02055401139670005;BOLÍVAR;01;13967;0005;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;4;25;9;4;4; ;340;QUINTAL;100;CHOCLO;6;320;QUINTAL;100;CHOCLO;100;0;1;5;15; ; ; ; ;2; ;2;SI;4; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;2500;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;4;4;ABRIL;1;MAIZ SUAVE CHOCLO (CHOCLO); ;15,4545454545455;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4; ; ; ; ;4;4;4;14,5454545454545;SOLO;68,798864521299
02055401139670005;BOLÍVAR;01;13967;0005;2;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;4;25;9;1;1; ;80;QUINTAL;100;CHOCLO;6;80;QUINTAL;100;CHOCLO;100; ;1; ; ; ; ; ; ;2; ;2;SI;1; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;400;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;1;1;ABRIL;1;MAIZ SUAVE CHOCLO (CHOCLO); ;3,63636363636364;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1; ; ; ; ;1;1;1;3,63636363636364;SOLO;68,798864521299
02055401139670006;BOLÍVAR;01;13967;0006;1;PAPA;1;1; ;2;1;5;25;11;,2;,2; ;50;QUINTAL;100;TUBERCULO FRESCO;6;40;QUINTAL;100;TUBERCULO FRESCO;100; ;1;5; ; ; ;5; ;2; ;4;SI;,2; ; ; ; ; ;100;SI;NO; ; ; ; ; ; ;SI;140;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,2;,2;MAYO;1;PAPA; ;2,27272727272727;PAPA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,2; ; ; ; ;,2;,2;,2;1,81818181818182;SOLO;13,8029704646381
02055401139670007;BOLÍVAR;01;13967;0007;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;4;25;10;,5;,5; ;30;QUINTAL;100;CHOCLO;6;25;QUINTAL;100;CHOCLO;100; ;1;3; ; ; ;2; ;2; ;4;SI;,5; ; ; ; ; ;100;SI;NO; ; ; ; ; ; ;SI;100;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;,5;,5;ABRIL;1;MAIZ SUAVE CHOCLO (CHOCLO); ;1,36363636363636;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,5; ; ; ; ;,5;,5;,5;1,13636363636364;SOLO;62,7714549247602
02055001140930001;BOLÍVAR;01;14093;0001;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;2;3;25;9;1,99;1,99; ;260;SACO;100;CHOCLO;2;260;SACO;100;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;SI;1,99; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;6;QUINTAL;6;QUINTAL; ; ; ; ;SI;NO; ; ;SI;4;LITRO;VERDE;2;LITRO;VERDE; ; ; ; ; ; ; ; ;1;1,99;1,99;MARZO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;11,8181818181818;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;1,99; ; ; ;1,99;1,99;1,99;11,8181818181818;SOLO;71,6850218746856
02055001140930001;BOLÍVAR;01;14093;0001;2;MAIZ SUAVE CHOCLO (CHOCLO);2;1; ;2;2;3;25;7;1;1; ;180;SACO;100;CHOCLO;2;180;SACO;100;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;SI;1; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;QUINTAL;3;QUINTAL; ; ; ; ;SI;NO; ; ;SI;2;LITRO;VERDE;1;LITRO;VERDE; ; ; ; ; ; ; ; ;1;1;1;MARZO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;8,18181818181818;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;1; ; ; ;1;1;1;8,18181818181818;SOLO;56,6832987589393
02055001140930001;BOLÍVAR;01;14093;0001;3;MAIZ SUAVE CHOCLO (CHOCLO);3;1; ;2;2;3;25;7;2;2; ;260;SACO;100;CHOCLO;2;260;SACO;100;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;SI;2; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;6;QUINTAL;6;QUINTAL; ; ; ; ;SI;NO; ; ;SI;4;LITRO;VERDE;2;LITRO;VERDE; ; ; ; ; ; ; ; ;1;2;2;MARZO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;11,8181818181818;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;2; ; ; ;2;2;2;11,8181818181818;SOLO;2,2442482540304
02055001140930002;BOLÍVAR;01;14093;0002;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;2;2;25;11;3;3; ;150;QUINTAL;100;GRANO SECO;6;150;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;SI;3; ; ;100; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;350;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;4;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;3;3;FEBRERO;1;MAIZ SUAVE SECO (GRANO SECO); ;6,81818181818182;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;3; ; ; ;3;3;3;6,81818181818182;SOLO;33,0438838164858
02055001140930003;BOLÍVAR;01;14093;0003;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;4;25;11;1,42;1,42; ;70;QUINTAL;100;GRANO SECO;6;70;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;SI;1,42; ; ;100; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;1;1,42;1,42;ABRIL;1;MAIZ SUAVE SECO (GRANO SECO); ;3,18181818181818;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,42; ; ; ; ;1,42;1,42;1,42;3,18181818181818;SOLO;56,620745953638
02055001140930004;BOLÍVAR;01;14093;0004;1;MAIZ SUAVE CHOCLO (CHOCLO);1;1; ;2;1;3;25;7;1;1; ;100;QUINTAL;100;CHOCLO;2;100;QUINTAL;100;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;SI;1; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;150;KILOGRAMO;,5;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;1;LITRO;VERDE;1;LITRO;VERDE; ; ; ; ; ; ;6; ;1;1;1;MARZO;1;MAIZ SUAVE SECO (GRANO SECO); ;4,54545454545455;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1; ; ; ; ;1;1;1;4,54545454545455;SOLO;20,1071144323506
02055001140930005;BOLÍVAR;01;14093;0005;1;MAIZ SUAVE CHOCLO (CHOCLO);2;1; ;2;2;3;25;10;2;2; ;300;SACO;90;CHOCLO;2;300;SACO;90;CHOCLO;100; ;2; ; ; ; ; ; ;2; ;4;SI;2; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;QUINTAL;3;QUINTAL; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AZUL;2;LITRO;AZUL; ; ; ; ; ; ; ; ;1;2;2;MARZO;1;MAIZ SUAVE CHOCLO (CHOCLO); ;12,2727272727273;MAIZ SUAVE CHOCLO (CHOCLO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;2; ; ; ;2;2;2;12,2727272727273;SOLO;68,9979782761678
