Identificador;ual_prov;ual_estr;ual_segm;al_ncues;su_numl;rc_clacul;su_numt;su_k202ha;su_categoria;su_tenencia;ual_trs;ual_trc;ual_tro;ual_znd;ual_tn;us_k301ha;us_k302ha;us_k303ha;us_k304ha;us_k305ha;us_k306ha;us_k307ha;us_k308ha;us_k309ha;us_k310ha;us_transiha;us_montesha;supertotal;fact_exp_fin
05045001161360022;COTOPAXI;01;16136;0022;3;OTROS USOS;3;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0043; ; ;,0043;65,8015824392025
05045001161360023;COTOPAXI;01;16136;0023;1;OTROS USOS;1;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0158; ; ;,0158;65,8015824392025
05045001161360023;COTOPAXI;01;16136;0023;2;PASTOS NATURALES;2;,08;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,0415; ; ; ; ; ; ;,0415;65,8015824392025
05045001161360024;COTOPAXI;01;16136;0024;1;MAIZ SUAVE CHOCLO (CHOCLO);1;,18;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,1804; ; ; ; ; ; ; ; ;,1804; ;,1804;65,8015824392025
05045001161360024;COTOPAXI;01;16136;0024;2;OTROS USOS;2;,08;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0811; ; ;,0811;65,8015824392025
05045001161360025;COTOPAXI;01;16136;0025;1;OTROS USOS;1;,03;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0373; ; ;,0373;65,8015824392025
05045001161360025;COTOPAXI;01;16136;0025;2;DESCANSO;2;,22;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,2224; ; ; ; ; ; ; ; ;,2224;65,8015824392025
05045001161360026;COTOPAXI;01;16136;0026;1;OTROS USOS;1;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0317; ; ;,0317;65,8015824392025
05045001161360026;COTOPAXI;01;16136;0026;2;PASTOS NATURALES;2;,14;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1253; ; ; ; ; ; ;,1253;65,8015824392025
05045001161360027;COTOPAXI;01;16136;0027;1;OTROS USOS;1;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0215; ; ;,0215;65,8015824392025
05045001161360027;COTOPAXI;01;16136;0027;2;PASTOS NATURALES;2;,13;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1463; ; ; ; ; ; ;,1463;65,8015824392025
05045001161360028;COTOPAXI;01;16136;0028;1;OTROS USOS;1;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0264; ; ;,0264;65,8015824392025
05045001161360028;COTOPAXI;01;16136;0028;2;PASTOS NATURALES;2;,13;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1441; ; ; ; ; ; ;,1441;65,8015824392025
05045001161360029;COTOPAXI;01;16136;0029;1;OTROS USOS;1;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0204; ; ;,0204;65,8015824392025
05045001161360029;COTOPAXI;01;16136;0029;2;DESCANSO;2;,24;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,2166; ; ; ; ; ; ; ; ;,2166;65,8015824392025
05045001161360030;COTOPAXI;01;16136;0030;1;DESCANSO;1;,29;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,0496; ; ; ; ; ; ; ; ;,0496;65,8015824392025
05045001161360031;COTOPAXI;01;16136;0031;1;PASTOS NATURALES;1;,25;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,2745; ; ; ; ; ; ;,2745;65,8015824392025
05045001161360032;COTOPAXI;01;16136;0032;1;OTROS USOS;1;,03;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0579; ; ;,0579;65,8015824392025
05045001161360032;COTOPAXI;01;16136;0032;2;PASTOS NATURALES;2;,3;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,2805; ; ; ; ; ; ;,2805;65,8015824392025
05045001161360033;COTOPAXI;01;16136;0033;1;OTROS USOS;1;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0323; ; ;,0323;65,8015824392025
05045001161360033;COTOPAXI;01;16136;0033;2;PASTOS NATURALES;2;,1;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1262; ; ; ; ; ; ;,1262;65,8015824392025
05045001161360034;COTOPAXI;01;16136;0034;1;OTROS USOS;1;,04;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0514; ; ;,0514;65,8015824392025
05045001161360034;COTOPAXI;01;16136;0034;2;PASTOS NATURALES;2;,18;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1889; ; ; ; ; ; ;,1889;65,8015824392025
05045001161369999;COTOPAXI;01;16136;9999;1;OTROS USOS;1;,6;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,6954; ; ;,6954;65,8015824392025
05035101162140001;COTOPAXI;01;16214;0001;1;CACAO CCN51 O RAMILLA (ALMENDRA FRESCA);1;2;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,4395; ; ; ; ; ; ; ; ; ; ; ;,4395;65,8015824392025
05035101162140001;COTOPAXI;01;16214;0001;2;ORITO;2;4;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,7558; ; ; ; ; ; ; ; ; ; ; ;1,7558;65,8015824392025
05035101162140001;COTOPAXI;01;16214;0001;3;BANANO DE EXPORTACION;3;1;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,7533; ; ; ; ; ; ; ; ; ; ; ;,7533;65,8015824392025
05035101162140001;COTOPAXI;01;16214;0001;4;PASTO MIXTO;4;8;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,8932; ; ; ; ; ; ; ;5,8932;65,8015824392025
05035101162149999;COTOPAXI;01;16214;9999;1;OTROS USOS;1;,3;OTROS USOS;OTRO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1582; ; ;,1582;65,8015824392025
05045701163610001;COTOPAXI;01;16361;0001;1;MONTES Y BOSQUES NATURALES;1;9;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;65,8015824392025
05035101164290001;COTOPAXI;01;16429;0001;1;CACAO CCN51 O RAMILLA (ALMENDRA FRESCA);1;4;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,3178; ; ; ; ; ; ; ; ; ; ; ;,3178;65,8015824392025
05035101164290001;COTOPAXI;01;16429;0001;2;ORITO;2;4;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,1393; ; ; ; ; ; ; ; ; ; ; ;1,1393;65,8015824392025
05035101164290001;COTOPAXI;01;16429;0001;3;SABOYA;3;10;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;7,5428; ; ; ; ; ; ; ;7,5428;65,8015824392025
05045001164460001;COTOPAXI;01;16446;0001;1;PAPA;1;,03;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,0567; ; ; ; ; ; ; ; ;,0567; ;,0567;65,8015824392025
05045001164460001;COTOPAXI;01;16446;0001;2;PAPA;2;,07;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,1249; ; ; ; ; ; ; ; ;,1249; ;,1249;65,8015824392025
05045001164460001;COTOPAXI;01;16446;0001;3;DESCANSO;3;,2;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,0939; ; ; ; ; ; ; ; ;,0939;65,8015824392025
05045001164460001;COTOPAXI;01;16446;0001;4;DESCANSO;4;,15;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,1849; ; ; ; ; ; ; ; ;,1849;65,8015824392025
05045001164460002;COTOPAXI;01;16446;0002;1;ALFALFA;1;,13;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1183; ; ; ; ; ; ; ;,1183;65,8015824392025
05045001164460002;COTOPAXI;01;16446;0002;2;PASTO MIXTO;2;,32;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,3763; ; ; ; ; ; ; ;,3763;65,8015824392025
05045001164460002;COTOPAXI;01;16446;0002;3;AVENA FORRAJERA;3;,03;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,037; ; ; ; ; ; ; ; ;,037; ;,037;65,8015824392025
05045001164460002;COTOPAXI;01;16446;0002;4;PASTO MIXTO;4;,2;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0299; ; ; ; ; ; ; ;,0299;65,8015824392025
05045001164460002;COTOPAXI;01;16446;0002;5;DESCANSO;5;,2;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,2824; ; ; ; ; ; ; ; ;,2824;65,8015824392025
05045001164460003;COTOPAXI;01;16446;0003;1;BARBECHO O RASTROJO;1;,08;BARBECHO;HERENCIA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;,0596; ; ; ; ; ; ; ;,0596; ;,0596;65,8015824392025
05045001164460003;COTOPAXI;01;16446;0003;2;PASTO MIXTO;2;2,5;PASTO CULTIVADO;HERENCIA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,3217; ; ; ; ; ; ; ;,3217;65,8015824392025
05045001164460003;COTOPAXI;01;16446;0003;3;OTROS USOS;3;,06;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0444; ; ;,0444;65,8015824392025
05045001164460004;COTOPAXI;01;16446;0004;1;DESCANSO;1;,2;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,1483; ; ; ; ; ; ; ; ;,1483;65,8015824392025
05045001164460004;COTOPAXI;01;16446;0004;2;DESCANSO;2;,3;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,2785; ; ; ; ; ; ; ; ;,2785;65,8015824392025
05045001164460005;COTOPAXI;01;16446;0005;1;AVENA FORRAJERA;1;,04;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,0621; ; ; ; ; ; ; ; ;,0621; ;,0621;65,8015824392025
05045001164460005;COTOPAXI;01;16446;0005;2;PASTO MIXTO;2;2,2;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,911; ; ; ; ; ; ; ;,911;65,8015824392025
05045001164460005;COTOPAXI;01;16446;0005;3;BOSQUES ARTIFICIALES;3;,18;BOSQUES ARTIFICIALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;,0913; ; ;,0913;,0913;65,8015824392025
05045001164460006;COTOPAXI;01;16446;0006;1;PASTO MIXTO;1;,35;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,2645; ; ; ; ; ; ; ;,2645;65,8015824392025
05045001164460006;COTOPAXI;01;16446;0006;2;DESCANSO;2;,18;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,1644; ; ; ; ; ; ; ; ;,1644;65,8015824392025
05045001164460006;COTOPAXI;01;16446;0006;3;OTROS USOS;3;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,014; ; ;,014;65,8015824392025
05045001164460007;COTOPAXI;01;16446;0007;1;PASTO MIXTO;1;,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1475; ; ; ; ; ; ; ;,1475;65,8015824392025
05045001164460008;COTOPAXI;01;16446;0008;1;DESCANSO;1;,99;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,0664; ; ; ; ; ; ; ; ;,0664;65,8015824392025
05045001164460008;COTOPAXI;01;16446;0008;2;OTROS USOS;2;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,002; ; ;,002;65,8015824392025
05045001164460009;COTOPAXI;01;16446;0009;1;CHOCHO;1;,11;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,1056; ; ; ; ; ; ; ; ;,1056; ;,1056;65,8015824392025
05045001164460009;COTOPAXI;01;16446;0009;2;BARBECHO O RASTROJO;2;,12;BARBECHO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;,108; ; ; ; ; ; ; ;,108; ;,108;65,8015824392025
05045001164460010;COTOPAXI;01;16446;0010;1;DESCANSO;1;,42;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,0837; ; ; ; ; ; ; ; ;,0837;65,8015824392025
05045001164460011;COTOPAXI;01;16446;0011;1;DESCANSO;1;,04;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,006; ; ; ; ; ; ; ; ;,006;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;1;PÁRAMOS;1;6;PÁRAMOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ;3,2003; ; ; ; ; ;3,2003;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;2;PÁRAMOS;2;2;PÁRAMOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ;,6498; ; ; ; ; ;,6498;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;3;PÁRAMOS;3;6;PÁRAMOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ;,1084; ; ; ; ; ;,1084;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;4;PÁRAMOS;4;1;PÁRAMOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ;,1645; ; ; ; ; ;,1645;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;5;OTROS USOS;5;,07;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0757; ; ;,0757;65,8015824392025
05045001164460012;COTOPAXI;01;16446;0012;6;OTROS USOS;6;,08;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0598; ; ;,0598;65,8015824392025
05045001164469999;COTOPAXI;01;16446;9999;1;OTROS USOS;1;,4;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,3185; ; ;,3185;65,8015824392025
05045001164469999;COTOPAXI;01;16446;9999;2;OTROS USOS;2;,2;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0628; ; ;,0628;65,8015824392025
05045001164469999;COTOPAXI;01;16446;9999;3;OTROS USOS;3;1;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1769; ; ;,1769;65,8015824392025
05015201164840001;COTOPAXI;01;16484;0001;1;PASTO MIXTO;1;2;PASTO CULTIVADO;ARRENDATARIO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,6023; ; ; ; ; ; ; ;1,6023;65,8015824392025
05015201164840001;COTOPAXI;01;16484;0001;2;OTROS USOS;2;,09;OTROS USOS;ARRENDATARIO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0847; ; ;,0847;65,8015824392025
05015201164840001;COTOPAXI;01;16484;0001;3;PASTO MIXTO;3;,25;PASTO CULTIVADO;ARRENDATARIO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0037; ; ; ; ; ; ; ;,0037;65,8015824392025
05015201164840002;COTOPAXI;01;16484;0002;1;OTROS USOS;1;,04;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0189; ; ;,0189;65,8015824392025
05015201164840003;COTOPAXI;01;16484;0003;1;PASTO MIXTO;1;,4;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1639; ; ; ; ; ; ; ;,1639;65,8015824392025
05015201164840003;COTOPAXI;01;16484;0003;2;OTROS USOS;2;,05;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0019; ; ;,0019;65,8015824392025
05015201164840004;COTOPAXI;01;16484;0004;1;PASTOS NATURALES;1;1,5;PASTO NATURAL;HERENCIA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,8705; ; ; ; ; ; ;,8705;65,8015824392025
05015201164840004;COTOPAXI;01;16484;0004;2;OTROS USOS;2;,35;OTROS USOS;HERENCIA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,4233; ; ;,4233;65,8015824392025
05015201164840005;COTOPAXI;01;16484;0005;1;PASTO MIXTO;1;18;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,6075; ; ; ; ; ; ; ;4,6075;65,8015824392025
05015201164840005;COTOPAXI;01;16484;0005;2;PASTO MIXTO;2;1,6;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,115; ; ; ; ; ; ; ;,115;65,8015824392025
05015201164840005;COTOPAXI;01;16484;0005;3;OTROS USOS;3;,35;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,3007; ; ;,3007;65,8015824392025
05015201164840005;COTOPAXI;01;16484;0005;4;OTROS USOS;4;,05;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0588; ; ;,0588;65,8015824392025
05015201164840005;COTOPAXI;01;16484;0005;5;OTROS USOS;5;,25;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0999; ; ;,0999;65,8015824392025
05015201164840006;COTOPAXI;01;16484;0006;1;PASTO MIXTO;1;1,48;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1063; ; ; ; ; ; ; ;,1063;65,8015824392025
05015201164840007;COTOPAXI;01;16484;0007;1;PASTO MIXTO;1;,45;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,406; ; ; ; ; ; ; ;,406;65,8015824392025
05015201164840007;COTOPAXI;01;16484;0007;2;OTROS USOS;2;,05;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0565; ; ;,0565;65,8015824392025
05015201164849999;COTOPAXI;01;16484;9999;1;OTROS USOS;1;,12;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0801; ; ;,0801;65,8015824392025
05015201164910001;COTOPAXI;01;16491;0001;1;PASTO MIXTO;1;2,95;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,8653; ; ; ; ; ; ; ;,8653;65,8015824392025
05015201164910001;COTOPAXI;01;16491;0001;2;OTROS USOS;2;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0037; ; ;,0037;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;1;PAPA;1;,7;TRANSITORIO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;,4063; ; ; ; ; ; ; ; ;,4063; ;,4063;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;2;PASTO MIXTO;2;2;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;2,0652; ; ; ; ; ; ; ;2,0652;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;3;ALFALFA;3;,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0865; ; ; ; ; ; ; ;,0865;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;4;PASTO MIXTO;4;5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,2412; ; ; ; ; ; ; ;,2412;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;5;MONTES Y BOSQUES NATURALES;5;1;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,4891; ; ; ;,4891;,4891;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;6;OTROS USOS;6;,1;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0275; ; ;,0275;65,8015824392025
05015201164910002;COTOPAXI;01;16491;0002;7;OTROS USOS;7;,05;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1772; ; ;,1772;65,8015824392025
05015201164910003;COTOPAXI;01;16491;0003;1;PASTO MIXTO;1;,68;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0325; ; ; ; ; ; ; ;,0325;65,8015824392025
05015201164910004;COTOPAXI;01;16491;0004;1;PASTO MIXTO;1;2,9;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;2,6248; ; ; ; ; ; ; ;2,6248;65,8015824392025
05015201164910004;COTOPAXI;01;16491;0004;2;ALFALFA;2;,08;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,2857; ; ; ; ; ; ; ;,2857;65,8015824392025
05015201164910004;COTOPAXI;01;16491;0004;3;OTROS USOS;3;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0226; ; ;,0226;65,8015824392025
05015201164910004;COTOPAXI;01;16491;0004;4;OTROS USOS;4;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0374; ; ;,0374;65,8015824392025
05015201164910005;COTOPAXI;01;16491;0005;1;PASTO MIXTO;1;,97;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1044; ; ; ; ; ; ; ;,1044;65,8015824392025
05015201164910005;COTOPAXI;01;16491;0005;2;PASTOS NATURALES;2;,01;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1559; ; ; ; ; ; ;,1559;65,8015824392025
05015201164910005;COTOPAXI;01;16491;0005;3;OTROS USOS;3;,01;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1021; ; ;,1021;65,8015824392025
05015201164910006;COTOPAXI;01;16491;0006;1;PASTO MIXTO;1;1;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,1666; ; ; ; ; ; ; ;,1666;65,8015824392025
05015201164910006;COTOPAXI;01;16491;0006;2;PASTO MIXTO;2;,68;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0268; ; ; ; ; ; ; ;,0268;65,8015824392025
05015201164910006;COTOPAXI;01;16491;0006;3;OTROS USOS;3;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0144; ; ;,0144;65,8015824392025
05015201164910007;COTOPAXI;01;16491;0007;1;PASTOS NATURALES;1;1;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,5486; ; ; ; ; ; ;,5486;65,8015824392025
05015201164910008;COTOPAXI;01;16491;0008;1;PASTO MIXTO;1;,68;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0663; ; ; ; ; ; ; ;,0663;65,8015824392025
05015201164919999;COTOPAXI;01;16491;9999;1;OTROS USOS;1;,8;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,2617; ; ;,2617;65,8015824392025
05015201164919999;COTOPAXI;01;16491;9999;2;OTROS USOS;2;,2;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1883; ; ;,1883;65,8015824392025
05055401165200001;COTOPAXI;01;16520;0001;1;PASTO MIXTO;1;20;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,3205; ; ; ; ; ; ; ;5,3205;65,8015824392025
