Identificador;ual_prov;ual_estr;ual_segm;al_ncues;su_numl;rc_clacul;su_numt;su_k202ha;su_categoria;su_tenencia;ual_trs;ual_trc;ual_tro;ual_znd;ual_tn;us_k301ha;us_k302ha;us_k303ha;us_k304ha;us_k305ha;us_k306ha;us_k307ha;us_k308ha;us_k309ha;us_k310ha;us_transiha;us_montesha;supertotal;fact_exp_fin
01055601002640002; AZUAY;01;00264;0002;1;MONTES Y BOSQUES NATURALES;1;9;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,2052; ; ; ;1,2052;1,2052;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;1;BARBECHO O RASTROJO;1;,03;BARBECHO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;,0742; ; ; ; ; ; ; ;,0742; ;,0742;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;2;CAÑA DE AZUCAR / OTROS USOS;2;,04;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,0547; ; ; ; ; ; ; ; ; ; ; ;,0547;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;3;PASTO MIXTO;3;2,47;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,9164; ; ; ; ; ; ; ;3,9164;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;4;PASTO MIXTO;4;2,2;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,3002; ; ; ; ; ; ; ;1,3002;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;5;MONTES Y BOSQUES NATURALES;5;2,84;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,2267; ; ; ;,2267;,2267;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;6;BOSQUES ARTIFICIALES;6;,35;BOSQUES ARTIFICIALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;,3442; ; ;,3442;,3442;66,3700908536929
01055601002930001; AZUAY;01;00293;0001;7;OTROS USOS;7;,05;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0543; ; ;,0543;66,3700908536929
01055601002930002; AZUAY;01;00293;0002;1;BARBECHO O RASTROJO;1;,21;BARBECHO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;,0018; ; ; ; ; ; ; ;,0018; ;,0018;66,3700908536929
01055601002930002; AZUAY;01;00293;0002;2;PASTO MIXTO;2;3,34;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,421; ; ; ; ; ; ; ;1,421;66,3700908536929
01055601002930002; AZUAY;01;00293;0002;3;BOSQUES ARTIFICIALES;3;,36;BOSQUES ARTIFICIALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ;,118; ; ;,118;,118;66,3700908536929
01055601002930002; AZUAY;01;00293;0002;4;DESCANSO;4;,17;DESCANSO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,1785; ; ; ; ; ; ; ; ;,1785;66,3700908536929
01055601002930003; AZUAY;01;00293;0003;1;BARBECHO O RASTROJO;1;,09;BARBECHO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;,0969; ; ; ; ; ; ; ;,0969; ;,0969;66,3700908536929
01055601002930003; AZUAY;01;00293;0003;2;PASTO MIXTO;2;1,41;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,0756; ; ; ; ; ; ; ;1,0756;66,3700908536929
01055601002939999; AZUAY;01;00293;9999;1;OTROS USOS;1;,17;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,1377; ; ;,1377;66,3700908536929
01015701003450001; AZUAY;01;00345;0001;1;PASTO MIXTO;1;6;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,8687; ; ; ; ; ; ; ;3,8687;66,3700908536929
01015701003450001; AZUAY;01;00345;0001;2;MONTES Y BOSQUES NATURALES;2;7;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4,44; ; ; ;4,44;4,44;66,3700908536929
01015701003450001; AZUAY;01;00345;0001;3;MONTES Y BOSQUES NATURALES;3;10;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,6913; ; ; ;,6913;,6913;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;1;PASTO MIXTO;1;4,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,7518; ; ; ; ; ; ; ;1,7518;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;2;PASTO MIXTO;2;3,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,5567; ; ; ; ; ; ; ;,5567;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;3;PASTO MIXTO;3;1,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,4864; ; ; ; ; ; ; ;,4864;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;4;MONTES Y BOSQUES NATURALES;4;3,5;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;3,515; ; ; ;3,515;3,515;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;5;MONTES Y BOSQUES NATURALES;5;2,5;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2,1851; ; ; ;2,1851;2,1851;66,3700908536929
01015701004340001; AZUAY;01;00434;0001;6;MONTES Y BOSQUES NATURALES;6;,75;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,0426; ; ; ;,0426;,0426;66,3700908536929
01015701004349999; AZUAY;01;00434;9999;1;OTROS USOS;1;,72;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,4623; ; ;,4623;66,3700908536929
01135101004610001; AZUAY;01;00461;0001;1;MONTES Y BOSQUES NATURALES;1;49,57;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01015701005130001; AZUAY;01;00513;0001;1;MONTES Y BOSQUES NATURALES;1;13;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01015701005980001; AZUAY;01;00598;0001;1;MERKERON;1;40;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,13; ; ; ; ; ; ; ;3,13;66,3700908536929
01015701005980001; AZUAY;01;00598;0001;2;MONTES Y BOSQUES NATURALES;2;20;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4,5973; ; ; ;4,5973;4,5973;66,3700908536929
01015701005980001; AZUAY;01;00598;0001;3;OTROS USOS;3;,02;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0063; ; ;,0063;66,3700908536929
01015701005980002; AZUAY;01;00598;0002;1;OTROS PASTOS CULTIVADOS;1;3;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,2156; ; ; ; ; ; ; ;1,2156;66,3700908536929
01015701005980003; AZUAY;01;00598;0003;1;OTROS PASTOS CULTIVADOS;1;2;PASTO CULTIVADO;USUFRUCTO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0494; ; ; ; ; ; ; ;,0494;66,3700908536929
01015701005980003; AZUAY;01;00598;0003;2;OTROS USOS;2;,01;OTROS USOS;USUFRUCTO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,0014; ; ;,0014;66,3700908536929
01015701007680001; AZUAY;01;00768;0001;1;PASTO MIXTO;1;2,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,3781; ; ; ; ; ; ; ;,3781;66,3700908536929
01015701007680001; AZUAY;01;00768;0001;2;PASTO MIXTO;2;4,5;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;2,001; ; ; ; ; ; ; ;2,001;66,3700908536929
01015701007680001; AZUAY;01;00768;0001;3;MONTES Y BOSQUES NATURALES;3;4;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4,2213; ; ; ;4,2213;4,2213;66,3700908536929
01015701007680002; AZUAY;01;00768;0002;1;MONTES Y BOSQUES NATURALES;1;4;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2,3996; ; ; ;2,3996;2,3996;66,3700908536929
01015701007700001; AZUAY;01;00770;0001;1;MONTES Y BOSQUES NATURALES;1;3;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;1,4656; ; ; ;1,4656;1,4656;66,3700908536929
01015701007700001; AZUAY;01;00770;0001;2;OTROS PASTOS CULTIVADOS;2;8;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,9402; ; ; ; ; ; ; ;5,9402;66,3700908536929
