Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vm_numl;vm_k821;vm_k822;vm_k823;vm_k824;vm_k825;vm_k826;vm_k827;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;va_nacidos;vm_subtmachos;vm_subthembras;TOTAL;fact_exp_fin
01015701005980003; AZUAY;01;00598;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,818349663924175
01015701005980003; AZUAY;01;00598;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,818349663924175
01015701005980003; AZUAY;01;00598;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,818349663924175
01015701005980003; AZUAY;01;00598;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,818349663924175
01015701005980003; AZUAY;01;00598;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,818349663924175
01015701005980003; AZUAY;01;00598;0003;6;2;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;1;2;,818349663924175
01015701007680001; AZUAY;01;00768;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,7521912586855
01015701007680001; AZUAY;01;00768;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,7521912586855
01015701007680001; AZUAY;01;00768;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,7521912586855
01015701007680001; AZUAY;01;00768;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,7521912586855
01015701007680001; AZUAY;01;00768;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;39,7521912586855
01015701007680001; AZUAY;01;00768;0001;6;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;3; ;3;39,7521912586855
01015701007680002; AZUAY;01;00768;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8943782447626
01015701007680002; AZUAY;01;00768;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8943782447626
01015701007680002; AZUAY;01;00768;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8943782447626
01015701007680002; AZUAY;01;00768;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8943782447626
01015701007680002; AZUAY;01;00768;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;15,8943782447626
01015701007680002; AZUAY;01;00768;0002;6;2;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;2; ;2;15,8943782447626
01015701007700001; AZUAY;01;00770;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;44,6433804581543
01015701007700001; AZUAY;01;00770;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;44,6433804581543
01015701007700001; AZUAY;01;00770;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;44,6433804581543
01015701007700001; AZUAY;01;00770;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;44,6433804581543
01015701007700001; AZUAY;01;00770;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;44,6433804581543
01015701007700001; AZUAY;01;00770;0001;6;4;2; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;2;2;4;44,6433804581543
01015701007700002; AZUAY;01;00770;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,3874902364196
