Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cg_vive_predio_pr;cg_terredensm;cg_dista_pre_viv;cg_k100;cg_k101;cg_se_define;cg_k102;cg_segsoccam;cg_dispo_comp;cg_dispo_tlfint;cg_dispo_internet;cg_superficie;cg_unidadmedida;sup_ha;edad_rango;instrucción;grupo1;Productor
01015101094429999; AZUAY;01;09442;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,2;HECTÁREAS;,2; No informa;NINGUNA;Menor a 1 hectárea;2
01015103004380002; AZUAY;03;00438;0002;NO; ;30;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5;HECTÁREAS;5; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015103004389999; AZUAY;03;00438;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9,13;HECTÁREAS;9,13; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015164000991175; AZUAY;64;00099;1175;NO; ;2,29;HOMBRE;60;MESTIZO;POSGRADO;NO;NO;NO;NO;,01;HECTÁREAS;,01;entre 55 y 64 años;POSGRADO;Menor a 1 hectárea;2
01015201148580009; AZUAY;01;14858;0009;SI;SI; ;MUJER;20;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,01;HECTÁREAS;,01; entre 15 y 24 años;SECUNDARIA;Menor a 1 hectárea;2
01015201148589999; AZUAY;01;14858;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,39;HECTÁREAS;,39; No informa;NINGUNA;Menor a 1 hectárea;2
01015201150910001; AZUAY;01;15091;0001;NO; ;2;HOMBRE;55;MESTIZO;SECUNDARIA;NO;SI;SI;SI;10,68;HECTÁREAS;10,68;entre 55 y 64 años;SECUNDARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015201150910003; AZUAY;01;15091;0003;NO; ;3;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;10,45;HECTÁREAS;10,45; No informa;NINGUNA;De 10 hectáreas a menos de 20 hectáreas;2
01015201156290002; AZUAY;01;15629;0002;NO; ;24;HOMBRE;70;OTRO;NINGUNA;NO;NO;NO;NO;1,2;HECTÁREAS;1,2;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201156290004; AZUAY;01;15629;0004;NO; ;2;MUJER;43;MESTIZO;PRIMARIA;NO;NO;NO;NO;2,21;HECTÁREAS;2,21; entre 35 y 44años;PRIMARIA;De 2 hectáreas a menos de 3 hectáreas;2
01015201160130003; AZUAY;01;16013;0003;NO; ;30;HOMBRE;71;MESTIZO;PRIMARIA;NO;NO;NO;NO;2,26;HECTÁREAS;2,26;65 años y más;PRIMARIA;De 2 hectáreas a menos de 3 hectáreas;2
01015201160138888; AZUAY;01;16013;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;3,76;HECTÁREAS;3,76; No informa;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
01015201160139999; AZUAY;01;16013;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,34;HECTÁREAS;,34; No informa;NINGUNA;Menor a 1 hectárea;2
01015201164918888; AZUAY;01;16491;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6,8;HECTÁREAS;6,8; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015201164919999; AZUAY;01;16491;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,18;HECTÁREAS;,18; No informa;NINGUNA;Menor a 1 hectárea;2
01015201168760001; AZUAY;01;16876;0001;NO; ;4,5;MUJER;70;MESTIZO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16;65 años y más;NINGUNA;Menor a 1 hectárea;2
01015201168760002; AZUAY;01;16876;0002;SI;NO;7,1;MUJER;70;MESTIZO;NINGUNA;NO;NO;NO;NO;1,02;HECTÁREAS;1,02;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201168760003; AZUAY;01;16876;0003;NO; ;4,35;HOMBRE;65;MESTIZO;NINGUNA;NO;NO;NO;NO;2,42;HECTÁREAS;2,42;65 años y más;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
01015201168760004; AZUAY;01;16876;0004;SI;NO;4,5;HOMBRE;55;MESTIZO;NINGUNA;NO;NO;NO;NO;1,81;HECTÁREAS;1,81;entre 55 y 64 años;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201168760005; AZUAY;01;16876;0005;SI;NO;24,3;MUJER;77;MESTIZO;NINGUNA;NO;NO;NO;NO;3,52;HECTÁREAS;3,52;65 años y más;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
01015201168760006; AZUAY;01;16876;0006;NO; ;4,1;MUJER;55;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,16;HECTÁREAS;,16;entre 55 y 64 años;SECUNDARIA;Menor a 1 hectárea;2
01015201172420003; AZUAY;01;17242;0003;NO; ;25;MUJER;57;MESTIZO;PRIMARIA;NO;NO;NO;NO;5,19;HECTÁREAS;5,19;entre 55 y 64 años;PRIMARIA;De 5 hectáreas a menos de 10 hectáreas;2
01015201172420004; AZUAY;01;17242;0004;NO; ;25;HOMBRE;70;MESTIZO;NINGUNA;NO;NO;NO;NO;,87;HECTÁREAS;,87;65 años y más;NINGUNA;Menor a 1 hectárea;2
01015201172429999; AZUAY;01;17242;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,4;HECTÁREAS;,4; No informa;NINGUNA;Menor a 1 hectárea;2
01015201172458888; AZUAY;01;17245;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6;HECTÁREAS;6; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015201173200003; AZUAY;01;17320;0003;NO; ;999,99;HOMBRE;45;MESTIZO;NINGUNA;NO;NO;NO;NO;2,2;HECTÁREAS;2,2; entre 45 y 54años;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
01015201173209999; AZUAY;01;17320;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16; No informa;NINGUNA;Menor a 1 hectárea;2
01015301082480001; AZUAY;01;08248;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;576;HECTÁREAS;576; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015301084289999; AZUAY;01;08428;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,3;HECTÁREAS;,3; No informa;NINGUNA;Menor a 1 hectárea;2
01015301086289999; AZUAY;01;08628;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,08;HECTÁREAS;1,08; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015301086520001; AZUAY;01;08652;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;576;HECTÁREAS;576; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015301090949999; AZUAY;01;09094;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,4;HECTÁREAS;,4; No informa;NINGUNA;Menor a 1 hectárea;2
01015301094299999; AZUAY;01;09429;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,03;HECTÁREAS;,03; No informa;NINGUNA;Menor a 1 hectárea;2
01015601057940001; AZUAY;01;05794;0001;NO; ;25;HOMBRE;57;MESTIZO;SUPERIOR;NO;NO;NO;NO;59,98;HECTÁREAS;59,98;entre 55 y 64 años;SUPERIOR;De 50 hectáreas a menos de 100 hectáreas;2
01015601057949999; AZUAY;01;05794;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,02;HECTÁREAS;,02; No informa;NINGUNA;Menor a 1 hectárea;2
01015701004349999; AZUAY;01;00434;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,72;HECTÁREAS;,72; No informa;NINGUNA;Menor a 1 hectárea;2
01015701005130001; AZUAY;01;00513;0001;NO; ;1;HOMBRE;62;MESTIZO;SECUNDARIA;NO;NO;NO;NO;13,01;HECTÁREAS;13,01;entre 55 y 64 años;SECUNDARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015701009639999; AZUAY;01;00963;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,3;HECTÁREAS;,3; No informa;NINGUNA;Menor a 1 hectárea;2
01015701009930001; AZUAY;01;00993;0001;NO; ;4;HOMBRE;66;MESTIZO;SECUNDARIA;NO;NO;SI;NO;14,01;HECTÁREAS;14,01;65 años y más;SECUNDARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015701012760001; AZUAY;01;01276;0001;NO; ;3,4;MUJER;54;MESTIZO;PRIMARIA;NO;NO;NO;NO;15,01;HECTÁREAS;15,01; entre 45 y 54años;PRIMARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015701012950001; AZUAY;01;01295;0001;NO; ;2;HOMBRE;46;MESTIZO;SUPERIOR;NO;NO;SI;NO;12,01;HECTÁREAS;12,01; entre 45 y 54años;SUPERIOR;De 10 hectáreas a menos de 20 hectáreas;2
01015701014360002; AZUAY;01;01436;0002;NO; ;21;HOMBRE;88;MESTIZO;PRIMARIA;NO;NO;NO;NO;10,01;HECTÁREAS;10,01;65 años y más;PRIMARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015701014369999; AZUAY;01;01436;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16; No informa;NINGUNA;Menor a 1 hectárea;2
01015701016109999; AZUAY;01;01610;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
01015701023259999; AZUAY;01;02325;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,64;HECTÁREAS;,64; No informa;NINGUNA;Menor a 1 hectárea;2
01015701028020001; AZUAY;01;02802;0001;NO; ;,4;MUJER;58;MESTIZO;PRIMARIA;NO;NO;NO;NO;12,01;HECTÁREAS;12,01;entre 55 y 64 años;PRIMARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015701031020006; AZUAY;01;03102;0006;NO; ;70;MUJER;41;MESTIZO;PRIMARIA;NO;NO;NO;NO;,01;HECTÁREAS;,01; entre 35 y 44años;PRIMARIA;Menor a 1 hectárea;2
01015701031020007; AZUAY;01;03102;0007;SI;SI; ;MUJER;68;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,06;HECTÁREAS;,06;65 años y más;SECUNDARIA;Menor a 1 hectárea;2
01015701031020008; AZUAY;01;03102;0008;NO; ;465;MUJER;34;MESTIZO;PRIMARIA;NO;NO;NO;NO;,02;HECTÁREAS;,02;entre 25 y 34 años;PRIMARIA;Menor a 1 hectárea;2
01015701031020011; AZUAY;01;03102;0011;NO; ;10;HOMBRE;71;MESTIZO;PRIMARIA;NO;NO;NO;NO;3,01;HECTÁREAS;3,01;65 años y más;PRIMARIA;De 3 hectáreas a menos de 5 hectáreas;2
01015701031020014; AZUAY;01;03102;0014;SI;SI; ;MUJER;23;MESTIZO;EDUCACIÓN BÁSICA;NO;NO;SI;NO;,11;HECTÁREAS;,11; entre 15 y 24 años;PRIMARIA;Menor a 1 hectárea;2
01015701031029999; AZUAY;01;03102;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,01;HECTÁREAS;1,01; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015701032887777; AZUAY;01;03288;7777;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9;HECTÁREAS;9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015701034317777; AZUAY;01;03431;7777;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9;HECTÁREAS;9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015701040989999; AZUAY;01;04098;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,35;HECTÁREAS;,35; No informa;NINGUNA;Menor a 1 hectárea;2
01015701042399999; AZUAY;01;04239;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,71;HECTÁREAS;,71; No informa;NINGUNA;Menor a 1 hectárea;2
01015701051000001; AZUAY;01;05100;0001;NO; ;,35;MUJER;64;MESTIZO;SUPERIOR;NO;NO;NO;NO;49,02;HECTÁREAS;49,02;entre 55 y 64 años;SUPERIOR;De 20 hectáreas a menos de 50 hectáreas;2
01015701051009999; AZUAY;01;05100;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,75;HECTÁREAS;,75; No informa;NINGUNA;Menor a 1 hectárea;2
01015701051140001; AZUAY;01;05114;0001;NO; ;,35;MUJER;64;MESTIZO;SUPERIOR;NO;NO;NO;NO;49,02;HECTÁREAS;49,02;entre 55 y 64 años;SUPERIOR;De 20 hectáreas a menos de 50 hectáreas;2
01015701051149999; AZUAY;01;05114;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
01015701070979999; AZUAY;01;07097;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,03;HECTÁREAS;,03; No informa;NINGUNA;Menor a 1 hectárea;2
01015702000179999; AZUAY;02;00017;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,7;HECTÁREAS;,7; No informa;NINGUNA;Menor a 1 hectárea;2
01015702000279999; AZUAY;02;00027;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16; No informa;NINGUNA;Menor a 1 hectárea;2
01015702000489999; AZUAY;02;00048;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,11;HECTÁREAS;,11; No informa;NINGUNA;Menor a 1 hectárea;2
01015703000150012; AZUAY;03;00015;0012;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;43;HECTÁREAS;43; No informa;NINGUNA;De 20 hectáreas a menos de 50 hectáreas;2
01015703000159999; AZUAY;03;00015;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,31;HECTÁREAS;,31; No informa;NINGUNA;Menor a 1 hectárea;2
01015703002220001; AZUAY;03;00222;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;28062,3;HECTÁREAS;28062,3; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015703002229999; AZUAY;03;00222;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5,93;HECTÁREAS;5,93; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015703002320001; AZUAY;03;00232;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1500;HECTÁREAS;1500; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015704000430001; AZUAY;04;00043;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;269,84;HECTÁREAS;269,84; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015704000439999; AZUAY;04;00043;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;18,16;HECTÁREAS;18,16; No informa;NINGUNA;De 10 hectáreas a menos de 20 hectáreas;2
01015704000469999; AZUAY;04;00046;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,51;HECTÁREAS;,51; No informa;NINGUNA;Menor a 1 hectárea;2
01015764000994370; AZUAY;64;00099;4370;NO; ;63,8;HOMBRE;60;MESTIZO;POSGRADO;NO;SI;SI;SI;,01;HECTÁREAS;,01;entre 55 y 64 años;POSGRADO;Menor a 1 hectárea;2
01015764000994454; AZUAY;64;00099;4454;SI;SI; ;HOMBRE;31;MESTIZO;NINGUNA;NO;NO;NO;NO;,01;HECTÁREAS;,01;entre 25 y 34 años;NINGUNA;Menor a 1 hectárea;2
01015801065280001; AZUAY;01;06528;0001;NO; ;15;HOMBRE;65;MESTIZO;SECUNDARIA;NO;NO;SI;SI;2,48;HECTÁREAS;2,48;65 años y más;SECUNDARIA;De 2 hectáreas a menos de 3 hectáreas;2
01015801065280002; AZUAY;01;06528;0002;NO; ;,25;MUJER;89;MESTIZO;NINGUNA;NO;NO;NO;NO;2,5;HECTÁREAS;2,5;65 años y más;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
01015801065280005; AZUAY;01;06528;0005;NO; ;15;HOMBRE;65;MESTIZO;SUPERIOR;NO;NO;NO;NO;2,55;HECTÁREAS;2,55;65 años y más;SUPERIOR;De 2 hectáreas a menos de 3 hectáreas;2
01015801065280006; AZUAY;01;06528;0006;NO; ;20;HOMBRE;55;MESTIZO;SUPERIOR;NO;NO;SI;NO;10,01;HECTÁREAS;10,01;entre 55 y 64 años;SUPERIOR;De 10 hectáreas a menos de 20 hectáreas;2
01015801065289999; AZUAY;01;06528;9999;SI;SI; ;HOMBRE;99;MESTIZO;NINGUNA;NO;NO;NO;NO;,35;HECTÁREAS;,35; No informa;NINGUNA;Menor a 1 hectárea;2
01015801066330001; AZUAY;01;06633;0001;NO; ;99;MUJER;52;BLANCO;SUPERIOR;NO;NO;NO;NO;,72;HECTÁREAS;,72; entre 45 y 54años;SUPERIOR;Menor a 1 hectárea;2
01015801066330002; AZUAY;01;06633;0002;SI;SI; ;HOMBRE;44;MESTIZO;POSGRADO;NO;SI;SI;SI;,4;HECTÁREAS;,4; entre 35 y 44años;POSGRADO;Menor a 1 hectárea;2
01015801066330003; AZUAY;01;06633;0003;SI;SI; ;HOMBRE;70;MESTIZO;POSGRADO;NO;SI;SI;SI;,26;HECTÁREAS;,26;65 años y más;POSGRADO;Menor a 1 hectárea;2
01015801066330004; AZUAY;01;06633;0004;NO; ;28;HOMBRE;75;MESTIZO;SUPERIOR;NO;SI;SI;SI;3,53;HECTÁREAS;3,53;65 años y más;SUPERIOR;De 3 hectáreas a menos de 5 hectáreas;2
01015801066330005; AZUAY;01;06633;0005;SI;SI; ;HOMBRE;52;MESTIZO;SECUNDARIA;NO;SI;SI;SI;,85;HECTÁREAS;,85; entre 45 y 54años;SECUNDARIA;Menor a 1 hectárea;2
01015801066330007; AZUAY;01;06633;0007;SI;SI; ;MUJER;42;MESTIZO;PRIMARIA;NO;SI;SI;SI;,13;HECTÁREAS;,13; entre 35 y 44años;PRIMARIA;Menor a 1 hectárea;2
01015801066330009; AZUAY;01;06633;0009;NO; ;,01;HOMBRE;60;MESTIZO;PRIMARIA;NO;NO;NO;NO;,53;HECTÁREAS;,53;entre 55 y 64 años;PRIMARIA;Menor a 1 hectárea;2
01015801066330010; AZUAY;01;06633;0010;SI;SI; ;HOMBRE;43;MESTIZO;SUPERIOR;NO;NO;NO;NO;,13;HECTÁREAS;,13; entre 35 y 44años;SUPERIOR;Menor a 1 hectárea;2
01015801066330011; AZUAY;01;06633;0011;SI;SI; ;HOMBRE;82;BLANCO;SUPERIOR;NO;SI;SI;SI;1,15;HECTÁREAS;1,15;65 años y más;SUPERIOR;De 1 hectárea a menos de 2 hectáreas;2
01015801066330012; AZUAY;01;06633;0012;SI;SI; ;HOMBRE;46;MESTIZO;PRIMARIA;NO;NO;SI;SI;,21;HECTÁREAS;,21; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
01015801066330013; AZUAY;01;06633;0013;SI;SI; ;HOMBRE;75;MESTIZO;SECUNDARIA;NO;SI;SI;SI;,76;HECTÁREAS;,76;65 años y más;SECUNDARIA;Menor a 1 hectárea;2
01015801066330014; AZUAY;01;06633;0014;SI;SI; ;HOMBRE;52;MESTIZO;SECUNDARIA;NO;SI;SI;SI;,15;HECTÁREAS;,15; entre 45 y 54años;SECUNDARIA;Menor a 1 hectárea;2
01015801066339999; AZUAY;01;06633;9999;SI;SI; ;HOMBRE;99;MESTIZO;NINGUNA;NO;NO;NO;NO;,35;HECTÁREAS;,35; No informa;NINGUNA;Menor a 1 hectárea;2
01015801070740002; AZUAY;01;07074;0002;SI;SI; ;MUJER;93;MESTIZO;NINGUNA;NO;NO;SI;SI;1,14;HECTÁREAS;1,14;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015801070740004; AZUAY;01;07074;0004;SI;SI; ;MUJER;43;MESTIZO;PRIMARIA;NO;NO;SI;SI;,34;HECTÁREAS;,34; entre 35 y 44años;PRIMARIA;Menor a 1 hectárea;2
01015801070740005; AZUAY;01;07074;0005;SI;NO;5;MUJER;40;OTRO;NINGUNA;NO;NO;NO;NO;,09;HECTÁREAS;,09; entre 35 y 44años;NINGUNA;Menor a 1 hectárea;2
01015801070740006; AZUAY;01;07074;0006;NO; ;35;MUJER;49;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,24;HECTÁREAS;,24; entre 45 y 54años;SECUNDARIA;Menor a 1 hectárea;2
01015801070749999; AZUAY;01;07074;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,14;HECTÁREAS;,14; No informa;NINGUNA;Menor a 1 hectárea;2
01015801071610004; AZUAY;01;07161;0004;SI;SI; ;HOMBRE;80;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,25;HECTÁREAS;,25;65 años y más;SECUNDARIA;Menor a 1 hectárea;2
01015801071610005; AZUAY;01;07161;0005;NO; ;40;HOMBRE;60;MESTIZO;SECUNDARIA;NO;NO;SI;SI;,92;HECTÁREAS;,92;entre 55 y 64 años;SECUNDARIA;Menor a 1 hectárea;2
01015801071610006; AZUAY;01;07161;0006;SI;SI; ;HOMBRE;45;MESTIZO;SECUNDARIA;NO;SI;SI;SI;1,75;HECTÁREAS;1,75; entre 45 y 54años;SECUNDARIA;De 1 hectárea a menos de 2 hectáreas;2
01015801071610007; AZUAY;01;07161;0007;NO; ;20;HOMBRE;68;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,21;HECTÁREAS;,21;65 años y más;SECUNDARIA;Menor a 1 hectárea;2
01015801071610008; AZUAY;01;07161;0008;SI;SI; ;MUJER;40;MESTIZO;SECUNDARIA;SI;SI;SI;SI;,34;HECTÁREAS;,34; entre 35 y 44años;SECUNDARIA;Menor a 1 hectárea;2
01015801071610009; AZUAY;01;07161;0009;SI;SI; ;MUJER;73;MESTIZO;NINGUNA;NO;NO;NO;NO;,26;HECTÁREAS;,26;65 años y más;NINGUNA;Menor a 1 hectárea;2
01015801071610010; AZUAY;01;07161;0010;SI;SI; ;HOMBRE;50;MESTIZO;SUPERIOR;NO;SI;SI;NO;,68;HECTÁREAS;,68; entre 45 y 54años;SUPERIOR;Menor a 1 hectárea;2
01015801071610013; AZUAY;01;07161;0013;SI;SI; ;MUJER;94;MESTIZO;NINGUNA;NO;NO;SI;SI;1,14;HECTÁREAS;1,14;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015801071610016; AZUAY;01;07161;0016;NO; ;25;HOMBRE;42;MESTIZO;SUPERIOR;NO;SI;SI;SI;,45;HECTÁREAS;,45; entre 35 y 44años;SUPERIOR;Menor a 1 hectárea;2
01015801071619999; AZUAY;01;07161;9999;SI;SI; ;MUJER;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
01015801074720002; AZUAY;01;07472;0002;SI;SI; ;HOMBRE;38;MESTIZO;SUPERIOR;NO;SI;SI;SI;,16;HECTÁREAS;,16; entre 35 y 44años;SUPERIOR;Menor a 1 hectárea;2
01015801074720011; AZUAY;01;07472;0011;SI;SI; ;HOMBRE;31;MESTIZO;SUPERIOR;NO;SI;SI;SI;,97;HECTÁREAS;,97;entre 25 y 34 años;SUPERIOR;Menor a 1 hectárea;2
01015801074720012; AZUAY;01;07472;0012;SI;SI; ;HOMBRE;46;MESTIZO;SECUNDARIA;NO;SI;SI;SI;,31;HECTÁREAS;,31; entre 45 y 54años;SECUNDARIA;Menor a 1 hectárea;2
01015801074720013; AZUAY;01;07472;0013;SI;SI; ;HOMBRE;53;MESTIZO;PRIMARIA;NO;NO;NO;SI;,11;HECTÁREAS;,11; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
01015801074729999; AZUAY;01;07472;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,45;HECTÁREAS;,45; No informa;NINGUNA;Menor a 1 hectárea;2
01015864000991217; AZUAY;64;00099;1217;SI;SI; ;MUJER;51;MESTIZO;PRIMARIA;NO;NO;SI;NO;,01;HECTÁREAS;,01; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
01015901044310007; AZUAY;01;04431;0007;NO; ;20;HOMBRE;65;MESTIZO;NINGUNA;NO;NO;NO;NO;1;HECTÁREAS;1;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015901044310008; AZUAY;01;04431;0008;NO; ;240;MUJER;50;MESTIZO;PRIMARIA;NO;NO;NO;NO;,27;HECTÁREAS;,27; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
01015901044310009; AZUAY;01;04431;0009;SI;SI; ;MUJER;56;INDÍGENA;SECUNDARIA;NO;NO;NO;NO;,4;HECTÁREAS;,4;entre 55 y 64 años;SECUNDARIA;Menor a 1 hectárea;2
01015901044310013; AZUAY;01;04431;0013;SI;SI; ;MUJER;50;MESTIZO;PRIMARIA;NO;NO;NO;NO;,6;HECTÁREAS;,6; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
01015901044310015; AZUAY;01;04431;0015;NO; ;45;HOMBRE;60;MESTIZO;SUPERIOR;NO;NO;SI;SI;,75;HECTÁREAS;,75;entre 55 y 64 años;SUPERIOR;Menor a 1 hectárea;2
01015901044318888; AZUAY;01;04431;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6,09;HECTÁREAS;6,09; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015901044319999; AZUAY;01;04431;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,38;HECTÁREAS;,38; No informa;NINGUNA;Menor a 1 hectárea;2
01016001080920004; AZUAY;01;08092;0004;SI;SI; ;MUJER;42;MESTIZO;POSGRADO;NO;SI;SI;SI;,95;HECTÁREAS;,95; entre 35 y 44años;POSGRADO;Menor a 1 hectárea;2
01016001080929999; AZUAY;01;08092;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,85;HECTÁREAS;,85; No informa;NINGUNA;Menor a 1 hectárea;2
01016001085060002; AZUAY;01;08506;0002;NO; ;15;HOMBRE;48;MESTIZO;PRIMARIA;NO;NO;NO;NO;4,21;HECTÁREAS;4,21; entre 45 y 54años;PRIMARIA;De 3 hectáreas a menos de 5 hectáreas;2
01016001085060003; AZUAY;01;08506;0003;NO; ;20;MUJER;67;MESTIZO;PRIMARIA;NO;NO;NO;NO;4,82;HECTÁREAS;4,82;65 años y más;PRIMARIA;De 3 hectáreas a menos de 5 hectáreas;2
