Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
02065004000200007;BOLÍVAR;04;00020;0007;1;PASTO MIXTO;1;1;9;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;3; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;9;9;11,4209536559011
02065004000200008;BOLÍVAR;04;00020;0008;1;PASTO MIXTO;1;1;14,95;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;3; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;14,95;14,95;4,0768399610811
02065004000200009;BOLÍVAR;04;00020;0009;1;PASTO MIXTO;1;1;15;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;6; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;15;15;8,18877640377816
02065004000200010;BOLÍVAR;04;00020;0010;1;PASTO MIXTO;1;1;77;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;30;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;77;77;11,0157126592552
02065004000200011;BOLÍVAR;04;00020;0011;1;PASTO MIXTO;1;1;67;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;67;67;8,83399819095931
02065004000200015;BOLÍVAR;04;00020;0015;1;PASTO MIXTO;1;1;63,9;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;40;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;63,9;63,9;5,84719819391915
03015001071090001;CAÑAR;01;07109;0001;1;PASTO MIXTO;1;1;8;2; ;NO; ; ; ; ; ; ; ;SI;SI;20;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;8;8;18,8385761260324
03015001071090001;CAÑAR;01;07109;0001;2;PASTO MIXTO;3;1;20;2; ;NO; ; ; ; ; ; ; ;SI;SI;100;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;20;20;7,85784385867484
03015001073600002;CAÑAR;01;07360;0002;1;PASTO MIXTO;1;1;5,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;5,5;5,5;57,1836996161121
03015001075860001;CAÑAR;01;07586;0001;1;PASTO MIXTO;1;1;2,75;2; ;SI;2,75; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,75;2,75;65,4906703566949
03015001075860002;CAÑAR;01;07586;0002;1;PASTO MIXTO;1;1;35;2; ;SI;35; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;35;35;4,42148236707546
03015001075860002;CAÑAR;01;07586;0002;2;PASTO MIXTO;4;1;3;2; ;SI;3; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;6,6863647878697
03015101079610001;CAÑAR;01;07961;0001;1;PASTO MIXTO;1;1;,16;2; ;SI;,16; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,16;,16;78,5843802773608
03015101079610001;CAÑAR;01;07961;0001;2;ALFALFA;3;1;,08;2; ;SI;,08; ;100; ; ; ; ;SI;SI;2;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,08; ;,08;60,1510071258811
03015101079610002;CAÑAR;01;07961;0002;1;PASTO MIXTO;3;1;2;2; ;NO; ; ; ; ; ; ; ;SI;SI;45;LIBRA; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2;2;57,8662390326319
03015101079610002;CAÑAR;01;07961;0002;2;ALFALFA;4;1;,12;2; ;NO; ; ; ; ; ; ; ;SI;SI;4;LIBRA; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,12; ;,12;84,1629010995192
03015101079610003;CAÑAR;01;07961;0003;1;ALFALFA;2;1;,02;2; ;NO; ; ; ; ; ; ; ;SI;SI;1;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,02; ;,02;101,383552333138
03015101079610003;CAÑAR;01;07961;0003;2;PASTO MIXTO;3;1;1;2; ;SI;1; ;100; ; ; ; ;SI;SI;3;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1;1;82,1352300528564
03015101079610004;CAÑAR;01;07961;0004;1;PASTO MIXTO;3;1;,19;2; ;NO; ; ; ; ; ; ; ;SI;SI;4;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,19;,19;77,8184506450279
03015101079610004;CAÑAR;01;07961;0004;2;PASTO MIXTO;5;1;,6;2; ;NO; ; ; ; ; ; ; ;SI;SI;7;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,6;,6;67,3464905051868
03015101080230001;CAÑAR;01;08023;0001;1;PASTO MIXTO;3;1;,02;2; ;NO; ; ; ; ; ; ; ;SI;SI;2;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,02;,02;3,93187083246176
03015101082920001;CAÑAR;01;08292;0001;1;PASTO MIXTO;2;1;,08;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,08;,08;67,8247718599654
03015101082920001;CAÑAR;01;08292;0001;2;ALFALFA;6;1;,01;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,01; ;,01;195,282918012268
03015101082920002;CAÑAR;01;08292;0002;1;PASTO MIXTO;2;1;1,94;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,94;1,94;3,89133608161164
03015101082920002;CAÑAR;01;08292;0002;2;PASTO MIXTO;3;1;,35;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,35;,35;65,3813949855071
03015101082920003;CAÑAR;01;08292;0003;1;PASTO MIXTO;2;1;2,91;2; ;NO; ; ; ; ; ; ; ;SI;SI;15;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,91;2,91;44,5972336575445
03015101082920004;CAÑAR;01;08292;0004;1;PASTO MIXTO;3;1;2,96;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,96;2,96;39,3009971947417
03015101082920005;CAÑAR;01;08292;0005;1;PASTO MIXTO;2;1;,1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,1;,1;61,4613493284813
03015101082920006;CAÑAR;01;08292;0006;1;PASTO MIXTO;1;1;,03;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,03;,03;47,8377617949515
03015101082920006;CAÑAR;01;08292;0006;2;PASTO MIXTO;2;1;,13;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,13;,13;66,1360837460235
03015301064710001;CAÑAR;01;06471;0001;1;PASTO MIXTO;1;1;,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,5;,5;39,0696898385617
03015301064710001;CAÑAR;01;06471;0001;2;PASTO MIXTO;2;1;8;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;8;8;33,3348924014649
03015301064710002;CAÑAR;01;06471;0002;1;PASTO MIXTO;1;1;7,5;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;50;KILOGRAMO;50;KILOGRAMO; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;7,5;7,5;17,9398159849122
03015301064710003;CAÑAR;01;06471;0003;1;PASTO MIXTO;1;1;4;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;4;4;29,9444729482234
03015301064710004;CAÑAR;01;06471;0004;1;PASTO MIXTO;1;1;1,7;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,7;1,7;11,884272329882
03015301064710004;CAÑAR;01;06471;0004;2;PASTO MIXTO;2;1;1,8;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,8;1,8;3,88454275762658
03015401087320005;CAÑAR;01;08732;0005;1;PASTO MIXTO;3;1;,38;2; ;SI;,38; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,38;,38;43,0091484919282
03015401087610001;CAÑAR;01;08761;0001;1;PASTO MIXTO;3;1;,03;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,03;,03;73,8865610374913
03015401087610003;CAÑAR;01;08761;0003;1;ALFALFA;1;1;,03;2; ;NO; ; ; ; ; ; ; ;SI;SI;80;KILOGRAMO; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,03; ;,03;118,520075460139
03015401090200001;CAÑAR;01;09020;0001;1;ALFALFA;6;1;,17;2; ;NO; ; ; ; ; ; ; ;SI;SI;2;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,17; ;,17;93,2470151345589
03015501078400004;CAÑAR;01;07840;0004;1;PASTO MIXTO;1;1;3;2; ;NO; ; ; ; ; ; ; ;SI;SI;10;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;57,9054133757322
03015501078400007;CAÑAR;01;07840;0007;1;PASTO MIXTO;2;1;,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,25;,25;69,2933530660059
03015501078400007;CAÑAR;01;07840;0007;2;PASTO MIXTO;4;1;,12;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,12;,12;50,7110576720802
03015501078400008;CAÑAR;01;07840;0008;1;PASTO MIXTO;2;1;,7;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,7;,7;28,6029263801342
03015501078400008;CAÑAR;01;07840;0008;2;PASTO MIXTO;4;1;,35;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,35;,35;36,3040776849935
03015501078400009;CAÑAR;01;07840;0009;1;PASTO MIXTO;1;1;,98;2; ;NO; ; ; ; ; ; ; ;SI;SI;3;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,98;,98;17,3529009682677
03015501079040001;CAÑAR;01;07904;0001;1;PASTO MIXTO;1;1;2,7;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,7;2,7;10,9995300078498
03015501079040001;CAÑAR;01;07904;0001;2;PASTO MIXTO;2;1;2,3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,3;2,3;39,7118954078638
03015501079040001;CAÑAR;01;07904;0001;3;PASTO MIXTO;3;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1;1;63,5193732984198
03015501079040002;CAÑAR;01;07904;0002;1;PASTO MIXTO;2;1;1,25;2; ;SI;,62; ;100; ; ; ; ;SI;SI;10;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,25;1,25;69,5469312845837
03015501079040003;CAÑAR;01;07904;0003;1;PASTO MIXTO;1;1;1,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,25;1,25;19,9843888177923
03015501079040004;CAÑAR;01;07904;0004;1;PASTO MIXTO;1;1;,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,25;,25;17,378869079481
03015501079690001;CAÑAR;01;07969;0001;1;PASTO MIXTO;1;1;8;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;11;QUINTAL;12;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;8;8;20,8118838000742
03015501079690002;CAÑAR;01;07969;0002;1;PASTO MIXTO;1;1;7;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;5;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;7;7;56,1349454111678
03015601064840001;CAÑAR;01;06484;0001;1;PASTO MIXTO;1;1;5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;5;5;46,0841474036735
03015601064840002;CAÑAR;01;06484;0002;1;PASTO MIXTO;1;1;4,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;4,5;4,5;35,2266501619445
03015603003530001;CAÑAR;03;00353;0001;1;PASTO MIXTO;2;1;25;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ; ; ;20;QUINTAL; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;25;25;33,5475115231489
03015603003530002;CAÑAR;03;00353;0002;1;PASTO MIXTO;3;1;15;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ; ; ;18;QUINTAL; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;15;15;18,436466180971
03015701046200001;CAÑAR;01;04620;0001;1;PASTO MIXTO;1;1;8;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;8;8;47,049022894727
03015701046200002;CAÑAR;01;04620;0002;1;PASTO MIXTO;1;1;2;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2;2;1,02869925367955
03015701046200003;CAÑAR;01;04620;0003;1;PASTO MIXTO;1;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;6,3058497382103
03015701050090001;CAÑAR;01;05009;0001;1;KIKUYO;1;1;6;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6; ;6;67,8218460029749
03015701050090002;CAÑAR;01;05009;0002;1;KIKUYO;2;1;1,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,5; ;1,5;15,9903027760454
03015701050230001;CAÑAR;01;05023;0001;1;PASTO MIXTO;1;1;,94;2; ;NO; ; ; ; ; ; ; ;SI;SI;10;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,94;,94;1,25868986243164
03015701050230001;CAÑAR;01;05023;0001;2;PASTO MIXTO;2;1;2,7;2; ;NO; ; ; ; ; ; ; ;SI;SI;22;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,7;2,7;51,5359945595606
03015701050230002;CAÑAR;01;05023;0002;1;PASTO MIXTO;1;1;,4;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,4;,4;2,30060535966672
03015701050230004;CAÑAR;01;05023;0004;1;PASTO MIXTO;2;1;12,64;2; ;NO; ; ; ; ; ; ; ;SI;SI;40;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;12,64;12,64;6,10721278117675
