Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
01015103004380003; AZUAY;03;00438;0003;2;PASTO MIXTO;2;1;,38;2; ;SI;,38; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;3;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,38;,38;48,378152624174
01015103004380004; AZUAY;03;00438;0004;1;PASTO MIXTO;1;1;1,65;2; ;SI;1,65; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;3;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,65;1,65;85,021626503079
01015103004380004; AZUAY;03;00438;0004;2;PASTO MIXTO;4;1;,69;2; ;SI;,69; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,69;,69;77,4955228434808
01015103004380004; AZUAY;03;00438;0004;3;PASTO MIXTO;5;1;4,75;2; ;SI;4,75; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;15;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;4,75;4,75;88,3610961250826
01015103004380004; AZUAY;03;00438;0004;4;PASTO MIXTO;6;1;,75;2; ;SI;,75; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,75;,75;7,40631749783117
01015103004380004; AZUAY;03;00438;0004;5;PASTO MIXTO;7;1;,25;2; ;SI;,25; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,25;,25;84,6577017013278
01015103004380004; AZUAY;03;00438;0004;6;PASTO MIXTO;8;1;,75;2; ;SI;,75; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,75;,75;146,43373326123
01015103004380004; AZUAY;03;00438;0004;7;PASTO MIXTO;9;1;2;2; ;SI;2; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;10;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2;2;52,501342855318
01015103004380004; AZUAY;03;00438;0004;8;PASTO MIXTO;10;1;6;2; ;SI;6; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;40;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;6;6;62,0782845412228
01015103004380004; AZUAY;03;00438;0004;9;PASTO MIXTO;11;1;3;2; ;SI;3; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;20;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;66,5270006440615
