Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
01025001210820001; AZUAY;01;21082;0001; ;8; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;8;8;14,3495765610437
01065201227450002; AZUAY;01;22745;0002; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;7,73230041874783
01065201227480001; AZUAY;01;22748;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;31,2290000757182
01045001239220005; AZUAY;01;23922;0005;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;15,9954251185286
01045001247360001; AZUAY;01;24736;0001;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;21,5076213782543
01045001253920007; AZUAY;01;25392;0007; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;49,2210190878453
01045301275750001; AZUAY;01;27575;0001;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;56,6076954888475
01045301276490002; AZUAY;01;27649;0002;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;1,18438659031258
01045101277250006; AZUAY;01;27725;0006;1;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;3;5;69,1687227903831
01017103006540001; AZUAY;03;00654;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;34,9088638238954
01015704000460002; AZUAY;04;00046;0002;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;31,0066878473212
02015901008570001;BOLÍVAR;01;00857;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;4,62305190122274
02015901025760012;BOLÍVAR;01;02576;0012; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;64,4199641975808
02015901032840001;BOLÍVAR;01;03284;0001; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;51,8239070254182
02015001064620009;BOLÍVAR;01;06462;0009; ;1; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;7,92463208339388
02015001064810003;BOLÍVAR;01;06481;0003; ;1; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;2,96206610648474
02035301103020004;BOLÍVAR;01;10302;0004; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;32,5093509483378
02035301105440006;BOLÍVAR;01;10544;0006; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;,901007826078575
02055001120500001;BOLÍVAR;01;12050;0001;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;60,6036208717331
02055601122340004;BOLÍVAR;01;12234;0004; ;2; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;7;7;10,1680103220646
02055401130630002;BOLÍVAR;01;13063;0002; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;23,6147865114082
02055401131190005;BOLÍVAR;01;13119;0005;2; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;3;5;30,9955697899933
02055401131190007;BOLÍVAR;01;13119;0007; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;26,7976490412067
02025001150380001;BOLÍVAR;01;15038;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;6,73485401796906
02025001156650004;BOLÍVAR;01;15665;0004; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;8,42304215814505
02025001157180001;BOLÍVAR;01;15718;0001;1; ;1;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;5;7;49,1422246479863
02025001157180003;BOLÍVAR;01;15718;0003; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;15,1530129184681
02025001157660002;BOLÍVAR;01;15766;0002; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;32,6321570691298
02025001163430005;BOLÍVAR;01;16343;0005; ;1;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;1,99113754868863
02025001163490004;BOLÍVAR;01;16349;0004; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;64,0694585418975
