Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
06026001116020005;CHIMBORAZO;01;11602;0005; ;4;4; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;4;8;29,2138223573826
06026001116020006;CHIMBORAZO;01;11602;0006; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;5,43169358365467
06026001116020007;CHIMBORAZO;01;11602;0007;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;8,08404299797448
06026001116020017;CHIMBORAZO;01;11602;0017; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;,559574748361602
06026001123630003;CHIMBORAZO;01;12363;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;5,39460731113433
06026001124130010;CHIMBORAZO;01;12413;0010;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;3,70850037821562
06026001124130012;CHIMBORAZO;01;12413;0012;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;17,8829917367056
06025001133320016;CHIMBORAZO;01;13332;0016; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;24,8907388308888
06025301134500012;CHIMBORAZO;01;13450;0012;0;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;,602596724279545
06025301135720004;CHIMBORAZO;01;13572;0004; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;12,6516887724918
06025301135990005;CHIMBORAZO;01;13599;0005; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;21,875173663348
06025001136040023;CHIMBORAZO;01;13604;0023;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;69,2285775138874
06055301152290003;CHIMBORAZO;01;15229;0003; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;37,2788450782952
06025301152850002;CHIMBORAZO;01;15285;0002; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;7,71590365263036
06025101154500002;CHIMBORAZO;01;15450;0002;3; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;11,2147897682117
06025101154500013;CHIMBORAZO;01;15450;0013;2; ; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;6;8;44,0981715346671
06025101162550003;CHIMBORAZO;01;16255;0003; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;10,3014498978658
06025101162550007;CHIMBORAZO;01;16255;0007;2; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;4,1071736655059
06025401166520001;CHIMBORAZO;01;16652;0001; ;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;8,80073322838619
06075103000390010;CHIMBORAZO;03;00039;0010; ;6; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;13,0344670858812
06026003005510005;CHIMBORAZO;03;00551;0005; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;57,0508797652203
06065004001060004;CHIMBORAZO;04;00106;0004; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;27,0177815398157
06065004001060005;CHIMBORAZO;04;00106;0005;5; ;5; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10; ;10;29,9675515799871
06065004001060014;CHIMBORAZO;04;00106;0014; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;26,7834693775863
06065004001060017;CHIMBORAZO;04;00106;0017; ;2; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;35,0568432616946
06065004001060018;CHIMBORAZO;04;00106;0018;4; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;29,9137516598796
06065004001060033;CHIMBORAZO;04;00106;0033; ; ; ;10;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;28,9843228372138
06065004001060034;CHIMBORAZO;04;00106;0034; ;8; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;22,893382730099
06065204001110002;CHIMBORAZO;04;00111;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;144,54706779823
06065204001110040;CHIMBORAZO;04;00111;0040;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;135,221715558647
06065204001110052;CHIMBORAZO;04;00111;0052; ;3; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;6,08177289408322
06065204001110054;CHIMBORAZO;04;00111;0054; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;32,2958657704313
06065204001110061;CHIMBORAZO;04;00111;0061; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;67,2665066806199
06065204001110064;CHIMBORAZO;04;00111;0064; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;116,118768380277
06095464000991725;CHIMBORAZO;64;00099;1725;15; ;15; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30; ;30;1
07135301034380004;EL ORO;01;03438;0004; ; ; ;1; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;1;1;16,1389760825135
07135301043590011;EL ORO;01;04359;0011; ;2; ; ; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;2;2;12,8940828896428
07135301048160001;EL ORO;01;04816;0001; ; ; ;4; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;4;4;21,6189701523872
07136262000990784;EL ORO;62;00099;0784; ;2; ; ; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;2;2;1
09145002048310011;GUAYAS;02;04831;0011; ;1; ; ; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;1;1;74,392630519183
09125002087470015;GUAYAS;02;08747;0015;1;1;2;4; ;REGIÓN COSTA; ; ;TOTAL NACIONAL;3;5;8;48,163720156037
09075002119400002;GUAYAS;02;11940;0002; ;1; ; ; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;1;1;38,3930082307899
09075004001760008;GUAYAS;04;00176;0008; ; ; ;3; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;3;3;71,9709763564379
10055001074860002;IMBABURA;01;07486;0002;0; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;10,6121632770654
10015001087210004;IMBABURA;01;08721;0004; ;3; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;9;9;9,79004815899646
10045001114500011;IMBABURA;01;11450;0011; ;20; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;20;20;9,79031359329143
10015201137320003;IMBABURA;01;13732;0003; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;27,0109143812913
10045701138090011;IMBABURA;01;13809;0011; ;2; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;4,88712949597026
11115701004360001;LOJA;01;00436;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;31,9009474964703
11115001017520033;LOJA;01;01752;0033; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;55,3822015376469
11015201037320010;LOJA;01;03732;0010; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;14,5548912451264
11016001039000004;LOJA;01;03900;0004;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;19,2596653685357
11015001070940002;LOJA;01;07094;0002; ;3; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;37,431195515614
11015001134400001;LOJA;01;13440;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;7,5680993522981
11025101164820001;LOJA;01;16482;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;60,9414284426839
11025001173860004;LOJA;01;17386;0004; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;83,347204374389
11115404000260003;LOJA;04;00026;0003; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;21,3118567913638
11065104002620011;LOJA;04;00262;0011; ; ; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;6;6;16,829780063509
13035102126060004;MANABÍ;02;12606;0004;6; ; ; ; ;REGIÓN COSTA; ; ;TOTAL NACIONAL;6; ;6;2,43773847079067
13105102250140001;MANABÍ;02;25014;0001; ;3; ;2; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ;5;5;7,57024442832413
16015401027080001;PASTAZA;01;02708;0001;1;2;1;2; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL;2;4;6;58,9529430153464
17018101010970003;PICHINCHA;01;01097;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;47,2784697274614
17025301046240003;PICHINCHA;01;04624;0003; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;61,85854355092
17025601056620001;PICHINCHA;01;05662;0001; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;45,040604540453
17045401057200004;PICHINCHA;01;05720;0004; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;166,295037700418
17045301085290001;PICHINCHA;01;08529;0001; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;10,3876724556563
17025001113230001;PICHINCHA;01;11323;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;39,7495267769426
17015401139440001;PICHINCHA;01;13944;0001; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;24,2001189692526
17025201165490008;PICHINCHA;01;16549;0008; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;181,214378378606
17018301165910002;PICHINCHA;01;16591;0002; ;350; ;150;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;500;500;0
17016001166710002;PICHINCHA;01;16671;0002; ;350; ;150;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;500;500;0
17018501183230001;PICHINCHA;01;18323;0001; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;,0797870250095933
17015201226420019;PICHINCHA;01;22642;0019; ; ; ;30;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;30;30;6,62998669725587
17017601232010001;PICHINCHA;01;23201;0001;15; ;15; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30; ;30;,986565976244004
17017601234820001;PICHINCHA;01;23482;0001;15; ;15; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30; ;30;1,04617538730525
17017601238760001;PICHINCHA;01;23876;0001; ; ; ;140;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;140;140;0
17017601238880001;PICHINCHA;01;23888;0001; ; ; ;40;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;40;40;0
17025403005790001;PICHINCHA;03;00579;0001; ;25; ;25;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;50;50;13,2628875974173
17017603008210005;PICHINCHA;03;00821;0005; ;30; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;30;30;0
17017661000992865;PICHINCHA;61;00099;2865; ; ; ;40;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;40;40;1
17017661000992930;PICHINCHA;61;00099;2930; ;30; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;30;30;1
17018564000991295;PICHINCHA;64;00099;1295; ;350; ;150;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;500;500;1
18015301007350001;TUNGURAHUA;01;00735;0001;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;41,0943354318027
18015301007350003;TUNGURAHUA;01;00735;0003; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;33,9701297334002
18015301007350004;TUNGURAHUA;01;00735;0004; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;28,6102192683641
18015301007350005;TUNGURAHUA;01;00735;0005;2; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;16,3268661010583
18015301007350009;TUNGURAHUA;01;00735;0009;1; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;24,3700038200894
18015301007350017;TUNGURAHUA;01;00735;0017;4; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;37,1682427823985
18015301007350018;TUNGURAHUA;01;00735;0018;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;66,804883863116
18015401012350001;TUNGURAHUA;01;01235;0001; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;9,20370650108122
18015401014030002;TUNGURAHUA;01;01403;0002; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;38,6441171957424
18015401014030008;TUNGURAHUA;01;01403;0008; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;88,9165957997275
18015401020550003;TUNGURAHUA;01;02055;0003; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;60,6763177852288
18015401020550007;TUNGURAHUA;01;02055;0007; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;46,0321635873094
18015401020550013;TUNGURAHUA;01;02055;0013;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;71,1849174693001
18016201026810002;TUNGURAHUA;01;02681;0002; ;1;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;38,2433633877866
18016201026810015;TUNGURAHUA;01;02681;0015; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;21,9187797004423
18016501030290008;TUNGURAHUA;01;03029;0008; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;50,9226063147161
18016501030290022;TUNGURAHUA;01;03029;0022;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;35,2332687336911
18016501030290028;TUNGURAHUA;01;03029;0028; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;84,9270926900717
18016101041390013;TUNGURAHUA;01;04139;0013;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;2,20823526832814
18016101041390023;TUNGURAHUA;01;04139;0023; ; ;5; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;12,6224748873465
18016101041390039;TUNGURAHUA;01;04139;0039;4;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;3;7;15,6977298047221
18016101044660014;TUNGURAHUA;01;04466;0014; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;20,8678594744139
18016101046530008;TUNGURAHUA;01;04653;0008;1; ;4; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;9,88646197973401
18016101046530020;TUNGURAHUA;01;04653;0020; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;8,07908297848877
18016101046530026;TUNGURAHUA;01;04653;0026; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;2,35859874911668
18075801047840047;TUNGURAHUA;01;04784;0047;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;33,696034464859
18015501047960027;TUNGURAHUA;01;04796;0027; ;1; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;10,8178942024891
18095101069150007;TUNGURAHUA;01;06915;0007; ;2; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;54,9003574586476
18045001074700008;TUNGURAHUA;01;07470;0008; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;11,3427774451695
18065001092610004;TUNGURAHUA;01;09261;0004;3; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6; ;6;2,90441784163123
18016403001120018;TUNGURAHUA;03;00112;0018; ; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;13,3211200117355
18016403001120019;TUNGURAHUA;03;00112;0019;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;2,56885078280269
18016403001120021;TUNGURAHUA;03;00112;0021; ; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;14,7367336876833
18016403001120035;TUNGURAHUA;03;00112;0035; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;2,61339440228775
18016403001120040;TUNGURAHUA;03;00112;0040; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;25,3858957693631
18016103001770004;TUNGURAHUA;03;00177;0004; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;93,830068509841
18016103001770026;TUNGURAHUA;03;00177;0026;2; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;10,5334540660668
18016103001770030;TUNGURAHUA;03;00177;0030; ;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;4,48125906527807
90065103000290002;90;03;00029;0002; ; ;1; ; ; ; ;5;TOTAL NACIONAL;1; ;1;3,15916519984924
90065103000380009;90;03;00038;0009; ;2; ;2; ; ; ;5;TOTAL NACIONAL; ;4;4;3,78910064774026
90065104000060001;90;04;00006;0001; ;2; ; ; ; ; ;5;TOTAL NACIONAL; ;2;2;1,16316154200903
